292|-7999376343.646014|[[0.030080705881118774, 0.040577732026576996], [0.03333233669400215, 0.039360884577035904], [0.03320331126451492, 0.0391143336892128], [0.03325909748673439, 0.039061225950717926], [0.03357665240764618, 0.03952333331108093], [0.034351181238889694, 0.041046470403671265], [0.035989291965961456, 0.04468326270580292], [0.039300091564655304, 0.05252474546432495], [0.04605661705136299, 0.06882084906101227], [0.06116063520312309, 0.10198058933019638], [0.09598491340875626, 0.16070948541164398], [0.14550688862800598, 0.2190317064523697], [0.17495541274547577, 0.24345193803310394], [0.18369732797145844, 0.24931350350379944], [0.18758559226989746, 0.24110056459903717], [0.18725672364234924, 0.18987827003002167], [0.17229832708835602, 0.1101391613483429], [0.1545039415359497, 0.08320707082748413], [0.14425699412822723, 0.07860130071640015], [0.1393733024597168, 0.07985219359397888], [0.1373453438282013, 0.08294393122196198], [0.136750265955925, 0.08708281815052032], [0.1370621770620346, 0.09249959886074066], [0.13787680864334106, 0.0994221568107605], [0.13869188725948334, 0.10768705606460571], [0.13897483050823212, 0.11670450866222382], [0.13831959664821625, 0.125710129737854], [0.1365092545747757, 0.13404212892055511], [0.13348618149757385, 0.14126937091350555], [0.12930209934711456, 0.14718890190124512], [0.12408174574375153, 0.15177030861377716], [0.11800284683704376, 0.15509751439094543], [0.11128553003072739, 0.1573241800069809], [0.10418228805065155, 0.15863968431949615], [0.09696058928966522, 0.15924116969108582], [0.08987739682197571, 0.15931031107902527], [0.0831511989235878, 0.15899856388568878], [0.07694021612405777, 0.15842166543006897], [0.07133416086435318, 0.15766319632530212], [0.0663597509264946, 0.15678173303604126], [0.06199613958597183, 0.15581785142421722], [0.0581929087638855, 0.15480007231235504], [0.054886020720005035, 0.15374867618083954], [0.052008964121341705, 0.15267837047576904], [0.04949960112571716, 0.15160046517848969], [0.047303106635808945, 0.15052390098571777], [0.04537281394004822, 0.14945629239082336], [0.04366970807313919, 0.1484041064977646], [0.04216139391064644, 0.14737290143966675], [0.040820907801389694, 0.14636729657649994], [0.03962564840912819, 0.14539101719856262], [0.03855649009346962, 0.14444667100906372], [0.037597063928842545, 0.14353595674037933]]
584|-5194803227.281831|[[0.22134029865264893, 0.1387152373790741], [0.22301490604877472, 0.13784988224506378], [0.22123867273330688, 0.1367393285036087], [0.21942391991615295, 0.13541626930236816], [0.2176780104637146, 0.13383449614048004], [0.21619433164596558, 0.13190913200378418], [0.21529267728328705, 0.1294669508934021], [0.2154412865638733, 0.12614193558692932], [0.21715697646141052, 0.1211204081773758], [0.22053898870944977, 0.11257459223270416], [0.22399425506591797, 0.09678074717521667], [0.22017993032932281, 0.06794396787881851], [0.1811254620552063, 0.022148603573441505], [0.12340594828128815, 0.0], [0.12505443394184113, 0.0], [0.15612924098968506, 0.0], [0.20741747319698334, 0.0], [0.25945746898651123, 0.0], [0.29853755235671997, 0.0], [0.3279859721660614, 0.00932054128497839], [0.3405369520187378, 0.036698222160339355], [0.3408163785934448, 0.04817020893096924], [0.33431145548820496, 0.050862446427345276], [0.3216650187969208, 0.048188306391239166], [0.3018384277820587, 0.041872330009937286], [0.27403777837753296, 0.03310968726873398], [0.23855260014533997, 0.02294274792075157], [0.19724544882774353, 0.012621428817510605], [0.15342867374420166, 0.0035680318251252174], [0.11070497334003448, 0.0], [0.07174672931432724, 0.0], [0.03797801584005356, 0.0], [0.009852617979049683, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0015580756589770317], [0.0, 0.0030927080661058426], [0.0, 0.004513352178037167], [0.0, 0.005808648187667131], [0.0, 0.006974284537136555], [0.0, 0.008012119680643082], [0.0, 0.008929246105253696], [0.0, 0.00973680429160595], [0.0, 0.010448385030031204], [0.0, 0.0110786659643054], [0.0, 0.011641979217529297], [0.0, 0.012151430360972881], [0.0, 0.012618272565305233], [0.0, 0.013051671907305717]]
876|-1599899357.8355443|[[0.4304112493991852, 0.17269665002822876], [0.4354289174079895, 0.17322540283203125], [0.43413498997688293, 0.17115172743797302], [0.43237918615341187, 0.16850441694259644], [0.43018102645874023, 0.1651272475719452], [0.42760416865348816, 0.1608096957206726], [0.42479071021080017, 0.15523263812065125], [0.4219849407672882, 0.14790472388267517], [0.4195069670677185, 0.138065904378891], [0.4175818860530853, 0.12455718964338303], [0.4158707559108734, 0.10575766116380692], [0.41254299879074097, 0.08000548928976059], [0.40302836894989014, 0.04729456827044487], [0.3807772099971771, 0.011852646246552467], [0.3517041802406311, 0.0], [0.34670594334602356, 0.0], [0.37283968925476074, 0.0], [0.4070037305355072, 0.0], [0.4381442368030548, 0.0], [0.464516818523407, 0.0193683709949255], [0.48311954736709595, 0.05534845590591431], [0.48311686515808105, 0.08670039474964142], [0.45411697030067444, 0.10672171413898468], [0.39912113547325134, 0.1160150021314621], [0.3322521150112152, 0.11506880819797516], [0.2638133764266968, 0.10363080352544785], [0.19940505921840668, 0.08352414518594742], [0.14248226583003998, 0.05976136028766632], [0.09394635260105133, 0.03777804225683212], [0.05313744768500328, 0.020033059641718864], [0.019060228019952774, 0.006618767976760864], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1168|-1195678876.7178342|[[0.44073760509490967, 0.15512119233608246], [0.4525408148765564, 0.1536596715450287], [0.45570820569992065, 0.1479000449180603], [0.45868852734565735, 0.141131192445755], [0.4614812433719635, 0.13309834897518158], [0.46408259868621826, 0.12347754091024399], [0.46646440029144287, 0.11180819571018219], [0.4685192406177521, 0.09744590520858765], [0.4698888957500458, 0.07953512668609619], [0.46956107020378113, 0.0570986308157444], [0.46514230966567993, 0.0295722559094429], [0.45184120535850525, 0.0], [0.4209935963153839, 0.0], [0.36526501178741455, 0.0], [0.3125079274177551, 0.0], [0.3191582262516022, 0.005028325133025646], [0.37631991505622864, 0.04579983279109001], [0.4548182487487793, 0.1066206619143486], [0.5324824452400208, 0.17497310042381287], [0.588314414024353, 0.23037202656269073], [0.6104274988174438, 0.2630891501903534], [0.59905606508255, 0.2774237096309662], [0.5556862950325012, 0.2777068316936493], [0.4941014349460602, 0.26192420721054077], [0.43579593300819397, 0.22699789702892303], [0.38518834114074707, 0.17285709083080292], [0.3376418352127075, 0.10978370159864426], [0.2893883287906647, 0.05028215050697327], [0.2417317032814026, 0.0], [0.1972745954990387, 0.0], [0.1577303558588028, 0.0], [0.12349367141723633, 0.0], [0.09447138756513596, 0.0], [0.07024060189723969, 0.0], [0.05020543187856674, 0.0], [0.03372351825237274, 0.0], [0.020183682441711426, 0.0], [0.009043462574481964, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1460|-312319064.6513402|[[0.5687501430511475, 0.1991366147994995], [0.5851808190345764, 0.19446797668933868], [0.5946973562240601, 0.18711428344249725], [0.6060441732406616, 0.17892126739025116], [0.6195316314697266, 0.16983142495155334], [0.635287344455719, 0.1598431020975113], [0.6530945897102356, 0.14901937544345856], [0.6721932888031006, 0.13749270141124725], [0.691130518913269, 0.1254349946975708], [0.7077852487564087, 0.11300390958786011], [0.7196925282478333, 0.10034295171499252], [0.7247707843780518, 0.08776185661554337], [0.7223581671714783, 0.07605592906475067], [0.7136420607566833, 0.06639523804187775], [0.6998541355133057, 0.0590902678668499], [0.6792229413986206, 0.052093517035245895], [0.6478410363197327, 0.0415160246193409], [0.6045392155647278, 0.024246985092759132], [0.552352249622345, 0.0], [0.4957776665687561, 0.0], [0.4388672709465027, 0.0], [0.38416051864624023, 0.0], [0.3336206078529358, 0.0], [0.28849655389785767, 0.0], [0.2493586242198944, 0.0], [0.21623434126377106, 0.0], [0.1887652426958084, 0.0], [0.16635432839393616, 0.0], [0.14829179644584656, 0.0], [0.1338517665863037, 0.0], [0.12235605716705322, 0.0], [0.11320999264717102, 0.0], [0.10709614306688309, 0.0], [0.10334467142820358, 0.0], [0.10051397234201431, 0.0], [0.09839247167110443, 0.0], [0.09681101143360138, 0.0], [0.09563793987035751, 0.0], [0.09477277845144272, 0.0], [0.09413964301347733, 0.0], [0.0936817154288292, 0.0], [0.09335630387067795, 0.0], [0.09313167631626129, 0.0], [0.09298383444547653, 0.0], [0.09289486706256866, 0.0], [0.09285120666027069, 0.0], [0.09284261614084244, 0.0], [0.09286117553710938, 0.0], [0.09290090203285217, 0.0], [0.09295714646577835, 0.0], [0.09302632510662079, 0.0], [0.09310565143823624, 0.0], [0.09319289773702621, 0.0]]
1752|-187423886.5020014|[[0.646282970905304, 0.1272936463356018], [0.6772661209106445, 0.1164293959736824], [0.7015863060951233, 0.10547588765621185], [0.7295235395431519, 0.09366539120674133], [0.7607260942459106, 0.0811438336968422], [0.7939538359642029, 0.06817682087421417], [0.8269099593162537, 0.05503850430250168], [0.8563225269317627, 0.041814375668764114], [0.8782340884208679, 0.02815638668835163], [0.8882479071617126, 0.013098140247166157], [0.8817234635353088, 0.0], [0.8543633818626404, 0.0], [0.8035708665847778, 0.0], [0.730542778968811, 0.0], [0.6439599990844727, 0.0], [0.5578734874725342, 0.0], [0.4816693663597107, 0.0], [0.41711199283599854, 0.0], [0.36267849802970886, 0.0], [0.316592276096344, 0.0], [0.27753764390945435, 0.0], [0.24455970525741577, 0.0], [0.21688225865364075, 0.0], [0.19380462169647217, 0.0], [0.17466846108436584, 0.0], [0.1588580459356308, 0.0], [0.14581184089183807, 0.0], [0.13503210246562958, 0.0], [0.12609025835990906, 0.0], [0.11862647533416748, 0.0], [0.11234624683856964, 0.0], [0.10846225172281265, 0.0], [0.10708045214414597, 0.0], [0.10605015605688095, 0.0], [0.10528559237718582, 0.0], [0.10472483187913895, 0.0], [0.10431913286447525, 0.0], [0.10403124243021011, 0.0], [0.10383278131484985, 0.0], [0.10370230674743652, 0.0], [0.10362356901168823, 0.0], [0.10358443856239319, 0.0], [0.10357566922903061, 0.0], [0.10359029471874237, 0.0], [0.10362304747104645, 0.0], [0.10366977751255035, 0.0], [0.10372746735811234, 0.0], [0.10379371047019958, 0.0], [0.10386661440134048, 0.0], [0.10394474864006042, 0.0], [0.10402701050043106, 0.0], [0.10411246865987778, 0.0], [0.10420050472021103, 0.0]]
2044|-115402853.25601561|[[0.7002291679382324, 0.16326002776622772], [0.7484246492385864, 0.1455700397491455], [0.7907141447067261, 0.12744289636611938], [0.8422076106071472, 0.1070358082652092], [0.9022333025932312, 0.08514489978551865], [0.9671236276626587, 0.06322617083787918], [1.0, 0.04284253716468811], [1.0, 0.025118565186858177], [1.0, 0.009092103689908981], [1.0, 0.0], [1.0, 0.0], [0.9582270979881287, 0.0], [0.8062622547149658, 0.0], [0.641120433807373, 0.0], [0.5013099908828735, 0.0], [0.3948048949241638, 0.0], [0.31437525153160095, 0.0], [0.2524945139884949, 0.0], [0.20408427715301514, 0.0], [0.16585099697113037, 0.0], [0.13552671670913696, 0.0], [0.11143547296524048, 0.0], [0.0922781452536583, 0.0], [0.07702511548995972, 0.0], [0.0648551806807518, 0.0], [0.0551140122115612, 0.0], [0.04728279262781143, 0.0], [0.04095213860273361, 0.0], [0.03580071032047272, 0.0], [0.03157711401581764, 0.0], [0.0280853770673275, 0.0], [0.02517298236489296, 0.0], [0.022721484303474426, 0.0], [0.02063869684934616, 0.0], [0.01885286718606949, 0.0], [0.017308078706264496, 0.0], [0.015960603952407837, 0.0], [0.014775887131690979, 0.0], [0.013726815581321716, 0.0], [0.012791693210601807, 0.0], [0.011953189969062805, 0.0], [0.011197417974472046, 0.0], [0.01051299273967743, 0.0], [0.009890638291835785, 0.0], [0.009322673082351685, 0.0], [0.008802689611911774, 0.0], [0.008325450122356415, 0.0], [0.007886253297328949, 0.0], [0.007481299340724945, 0.0], [0.007107257843017578, 0.0], [0.006761126220226288, 0.0], [0.0064405351877212524, 0.0], [0.0061431750655174255, 0.0]]
2336|-88386918.68504466|[[0.8490994572639465, 0.1573909968137741], [0.8920144438743591, 0.13904252648353577], [0.9339075088500977, 0.11831571906805038], [0.9860891699790955, 0.09481459856033325], [1.0, 0.07017701864242554], [1.0, 0.04812822863459587], [1.0, 0.030771035701036453], [1.0, 0.01788887195289135], [1.0, 0.007619424257427454], [1.0, 0.0], [1.0, 0.0], [0.9982356429100037, 0.0], [0.800990641117096, 0.0], [0.5978931188583374, 0.0], [0.43743711709976196, 0.0], [0.32253962755203247, 0.0], [0.24039867520332336, 0.0], [0.18048492074012756, 0.0], [0.1360347718000412, 0.0], [0.10270557552576065, 0.0], [0.07757122069597244, 0.0], [0.058566659688949585, 0.0], [0.04418560862541199, 0.0], [0.033306874334812164, 0.0], [0.025085680186748505, 0.0], [0.018882013857364655, 0.0], [0.014209352433681488, 0.0], [0.010697595775127411, 0.0], [0.00806506723165512, 0.0], [0.006097927689552307, 0.0], [0.004633612930774689, 0.0], [0.00354892760515213, 0.0], [0.0027502253651618958, 0.0], [0.0021668672561645508, 0.0], [0.0017451643943786621, 0.0], [0.0014444291591644287, 0.0], [0.0012340918183326721, 0.0], [0.0010907873511314392, 0.0], [0.000996999442577362, 0.0], [0.0009394735097885132, 0.0], [0.0009081363677978516, 0.0], [0.0008956864476203918, 0.0], [0.0008962526917457581, 0.0], [0.0009058192372322083, 0.0], [0.0009212121367454529, 0.0], [0.0009401440620422363, 0.0], [0.000961005687713623, 0.0], [0.0009826719760894775, 0.0], [0.0010041296482086182, 0.0], [0.0010250508785247803, 0.0], [0.0010448247194290161, 0.0], [0.001063317060470581, 0.0], [0.0010804980993270874, 0.0]]
2628|-78948067.79172443|[[0.9489231109619141, 0.13197608292102814], [0.9764764308929443, 0.12581588327884674], [1.0, 0.11963392049074173], [1.0, 0.11428938060998917], [1.0, 0.11106635630130768], [1.0, 0.11109686642885208], [1.0, 0.1147199347615242], [1.0, 0.12052632123231888], [1.0, 0.12527061998844147], [1.0, 0.12447170168161392], [1.0, 0.11266603320837021], [0.8681952953338623, 0.08457386493682861], [0.6455460786819458, 0.04673193395137787], [0.46657997369766235, 0.013107720762491226], [0.3400685787200928, 0.0], [0.25085270404815674, 0.0], [0.18618491291999817, 0.0], [0.1381947100162506, 0.0], [0.10208005458116531, 0.0], [0.07472510635852814, 0.0], [0.05397774279117584, 0.0], [0.038277462124824524, 0.0], [0.026455678045749664, 0.0], [0.017619460821151733, 0.0], [0.011079385876655579, 0.0], [0.006299927830696106, 0.0], [0.002864465117454529, 0.0], [0.000449158251285553, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
2920|-82284120.48048156|[[1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.0], [1.0, 0.01609782874584198], [1.0, 0.04278293997049332], [1.0, 0.06989045441150665], [1.0, 0.09273729473352432], [1.0, 0.10716263949871063], [1.0, 0.10877705365419388], [1.0, 0.09260636568069458], [0.7462005019187927, 0.05623789504170418], [0.4998934864997864, 0.018846891820430756], [0.32880812883377075, 0.0], [0.2157599776983261, 0.0], [0.139389306306839, 0.0], [0.08657988905906677, 0.0], [0.0497254878282547, 0.0], [0.02411188930273056, 0.0], [0.00659961998462677, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
