292|-443822682.8370956|[[0.4908594787120819, 0.4792498052120209], [0.48908430337905884, 0.48141172528266907], [0.4904126524925232, 0.48333656787872314], [0.4915370047092438, 0.48528268933296204], [0.4922589063644409, 0.487456738948822], [0.49260109663009644, 0.4901305139064789], [0.49231794476509094, 0.49344244599342346], [0.4914638102054596, 0.49728158116340637], [0.4898821711540222, 0.501166820526123], [0.4871562123298645, 0.5050818920135498], [0.4855290353298187, 0.5110807418823242], [0.4854417145252228, 0.5222740769386292], [0.4870680868625641, 0.5334237217903137], [0.4924127757549286, 0.5395143628120422], [0.49290719628334045, 0.5456347465515137], [0.48653239011764526, 0.5498674511909485], [0.4794159233570099, 0.5508959293365479], [0.4773377776145935, 0.5521337985992432], [0.4778355062007904, 0.5538080930709839], [0.47952476143836975, 0.5552926659584045], [0.4799003601074219, 0.5561231374740601], [0.4830782413482666, 0.5560973286628723], [0.4895781874656677, 0.5555487275123596], [0.49447154998779297, 0.5554263591766357], [0.4963405430316925, 0.554181694984436], [0.49650558829307556, 0.5487145185470581], [0.48923003673553467, 0.5367146134376526], [0.4790516197681427, 0.5273599028587341], [0.47269541025161743, 0.5220991373062134], [0.4654870629310608, 0.5179758667945862], [0.4599066376686096, 0.5140207409858704], [0.45454856753349304, 0.5089489817619324], [0.4494757652282715, 0.505390465259552], [0.4469752013683319, 0.5031833052635193], [0.44550302624702454, 0.5014775395393372], [0.4438028931617737, 0.499850869178772], [0.4425952136516571, 0.4984718859195709], [0.4419621229171753, 0.49726012349128723], [0.4416663944721222, 0.4966161251068115], [0.44131678342819214, 0.49628469347953796], [0.44105809926986694, 0.49599242210388184], [0.4408574104309082, 0.49577197432518005], [0.44069603085517883, 0.49560242891311646], [0.44057631492614746, 0.4954938590526581], [0.44048866629600525, 0.49542635679244995], [0.4404357075691223, 0.495389848947525], [0.4404239058494568, 0.49537768959999084], [0.4404244124889374, 0.4953871965408325], [0.4404343366622925, 0.4954160153865814], [0.44045597314834595, 0.4954516291618347], [0.4404868483543396, 0.495492160320282], [0.44053301215171814, 0.49553751945495605], [0.44058576226234436, 0.4955829381942749]]
584|-446478528.9948473|[[0.4888574779033661, 0.47893285751342773], [0.4870210886001587, 0.4804561734199524], [0.48828673362731934, 0.48215505480766296], [0.48943033814430237, 0.4839673340320587], [0.49032285809516907, 0.4861246645450592], [0.4907984435558319, 0.4887271821498871], [0.49080321192741394, 0.4918045103549957], [0.48998406529426575, 0.49581101536750793], [0.48762959241867065, 0.5005252361297607], [0.4852733910083771, 0.5072278380393982], [0.4832410216331482, 0.5181676149368286], [0.4860447347164154, 0.530972957611084], [0.49083250761032104, 0.5369263887405396], [0.4929940104484558, 0.5437672734260559], [0.48765823245048523, 0.5508516430854797], [0.4792993664741516, 0.554419219493866], [0.47578397393226624, 0.5586126446723938], [0.47582879662513733, 0.5623834133148193], [0.4784843623638153, 0.5651564598083496], [0.4801575243473053, 0.5657481551170349], [0.4831849932670593, 0.5657520890235901], [0.48990684747695923, 0.5666860938072205], [0.4977918863296509, 0.566711962223053], [0.503117561340332, 0.565575361251831], [0.5057592391967773, 0.5643345713615417], [0.5051333904266357, 0.5628517866134644], [0.5034428834915161, 0.5546117424964905], [0.49411505460739136, 0.539891242980957], [0.48223671317100525, 0.531420886516571], [0.47211596369743347, 0.5242277383804321], [0.46432027220726013, 0.5199788808822632], [0.4588816463947296, 0.5153124332427979], [0.4549356698989868, 0.511367917060852], [0.4515855312347412, 0.5081762075424194], [0.4488818347454071, 0.5055475234985352], [0.44665610790252686, 0.5032209753990173], [0.4452565908432007, 0.5014358162879944], [0.44445300102233887, 0.4999256432056427], [0.4437379539012909, 0.49872493743896484], [0.44315969944000244, 0.4978662133216858], [0.44267311692237854, 0.4972267150878906], [0.442313015460968, 0.4967194199562073], [0.4419859051704407, 0.496379017829895], [0.44172248244285583, 0.4961259365081787], [0.44153469800949097, 0.49592259526252747], [0.44139528274536133, 0.4957681894302368], [0.4412967562675476, 0.49564939737319946], [0.4412290155887604, 0.49555689096450806], [0.4411848485469818, 0.4954896569252014], [0.4411581754684448, 0.4954429268836975], [0.4411449730396271, 0.4954124689102173], [0.4411415159702301, 0.49539610743522644], [0.44114434719085693, 0.49539288878440857]]
876|-449367289.4679703|[[0.4865894317626953, 0.4793441593647003], [0.48505812883377075, 0.48017171025276184], [0.48668017983436584, 0.48214802145957947], [0.4877668619155884, 0.48398783802986145], [0.48848244547843933, 0.48606768250465393], [0.4887891113758087, 0.4888753890991211], [0.4886241853237152, 0.4923388361930847], [0.48752474784851074, 0.4964844584465027], [0.4855755567550659, 0.5025254487991333], [0.4821120500564575, 0.5119091272354126], [0.4831836521625519, 0.5245802998542786], [0.4870132505893707, 0.5333631634712219], [0.49207374453544617, 0.5390769839286804], [0.48891568183898926, 0.5483737587928772], [0.4809526205062866, 0.555057942867279], [0.4757452607154846, 0.5605615377426147], [0.4734570384025574, 0.5668366551399231], [0.47589606046676636, 0.5715733766555786], [0.4781586527824402, 0.5742592215538025], [0.4813145399093628, 0.5753344297409058], [0.48535552620887756, 0.5758029818534851], [0.49543508887290955, 0.5756404399871826], [0.5048838257789612, 0.5750262141227722], [0.5110223889350891, 0.5735123157501221], [0.5125420093536377, 0.572192907333374], [0.5120394229888916, 0.5694589614868164], [0.5074854493141174, 0.5650858879089355], [0.5027008056640625, 0.5551076531410217], [0.4929693341255188, 0.542487621307373], [0.4780023396015167, 0.5327891111373901], [0.4679268002510071, 0.526543915271759], [0.46008363366127014, 0.5196935534477234], [0.45591288805007935, 0.51532381772995], [0.45379969477653503, 0.5116382837295532], [0.4517928957939148, 0.5087278485298157], [0.4495775103569031, 0.505601167678833], [0.44821199774742126, 0.5036706924438477], [0.44749870896339417, 0.5022971034049988], [0.44684332609176636, 0.5006712079048157], [0.4461921453475952, 0.4992481768131256], [0.4456457495689392, 0.4981074631214142], [0.44521933794021606, 0.49729812145233154], [0.4448104798793793, 0.4967205226421356], [0.4444445073604584, 0.4962945282459259], [0.4441505968570709, 0.49596163630485535], [0.44391700625419617, 0.49570295214653015], [0.4437525272369385, 0.4955161511898041], [0.4436355531215668, 0.4953802525997162], [0.4435465931892395, 0.49527737498283386], [0.44348227977752686, 0.49520179629325867], [0.4434358775615692, 0.4951465427875519], [0.4434039294719696, 0.4951072931289673], [0.4433835744857788, 0.49508070945739746]]
1168|-447807933.6303919|[[0.4884587824344635, 0.4787614643573761], [0.48661333322525024, 0.4800786077976227], [0.4879362881183624, 0.4818069338798523], [0.4890397787094116, 0.4835856258869171], [0.4899410605430603, 0.48568201065063477], [0.49036934971809387, 0.4881094694137573], [0.49040505290031433, 0.4912889897823334], [0.4897085428237915, 0.4951936900615692], [0.48742952942848206, 0.5001979470252991], [0.4847969710826874, 0.5071256756782532], [0.4827297329902649, 0.5183579921722412], [0.48574429750442505, 0.5311906933784485], [0.490969181060791, 0.5368335247039795], [0.4924747347831726, 0.5438894033432007], [0.4866843521595001, 0.5510644912719727], [0.4786544740200043, 0.5550275444984436], [0.4752604067325592, 0.5596811175346375], [0.4754454493522644, 0.5635741949081421], [0.4780907928943634, 0.5664459466934204], [0.4799305200576782, 0.5670304894447327], [0.4830600619316101, 0.5669803619384766], [0.4896410405635834, 0.567657470703125], [0.497918963432312, 0.567575216293335], [0.5033602118492126, 0.5662662386894226], [0.5063756108283997, 0.5651821494102478], [0.5059327483177185, 0.5632637739181519], [0.5041290521621704, 0.5564670562744141], [0.49570611119270325, 0.5418999195098877], [0.48408111929893494, 0.5323449373245239], [0.4734477400779724, 0.5249057412147522], [0.4652378559112549, 0.5202814340591431], [0.4597117006778717, 0.516074001789093], [0.4556243419647217, 0.5118811726570129], [0.452161967754364, 0.5085325241088867], [0.4494417607784271, 0.5058978199958801], [0.44711142778396606, 0.5035930275917053], [0.4455874264240265, 0.5018421411514282], [0.44475769996643066, 0.5003923773765564], [0.44400155544281006, 0.49915117025375366], [0.44342127442359924, 0.49828511476516724], [0.4429042339324951, 0.4976237118244171], [0.4425029158592224, 0.49713394045829773], [0.44218939542770386, 0.49675416946411133], [0.44193732738494873, 0.49644145369529724], [0.44174307584762573, 0.4961901009082794], [0.441593736410141, 0.49599575996398926], [0.44147980213165283, 0.4958460330963135], [0.44139373302459717, 0.4957311451435089], [0.4413297772407532, 0.4956445097923279], [0.44128352403640747, 0.4955812096595764], [0.44125720858573914, 0.4955414831638336], [0.44124045968055725, 0.4955134689807892], [0.4412311017513275, 0.49549442529678345]]
1460|-447367370.83415186|[[0.48870450258255005, 0.4784647524356842], [0.4868084788322449, 0.479735404253006], [0.4881039559841156, 0.4814305007457733], [0.4892379939556122, 0.4832112193107605], [0.49011245369911194, 0.48530104756355286], [0.4905470013618469, 0.4877251088619232], [0.49058154225349426, 0.49096086621284485], [0.48982223868370056, 0.4949406385421753], [0.48742276430130005, 0.4999893307685852], [0.48479217290878296, 0.5070638656616211], [0.4828164875507355, 0.5185468196868896], [0.48591217398643494, 0.5315596461296082], [0.491382360458374, 0.5372376441955566], [0.49265527725219727, 0.5443487167358398], [0.48653462529182434, 0.5515613555908203], [0.4784165620803833, 0.5555773973464966], [0.4750240743160248, 0.5604300498962402], [0.47527769207954407, 0.5643540620803833], [0.4780248701572418, 0.5672218799591064], [0.4799433946609497, 0.5678007006645203], [0.4830729365348816, 0.5677356719970703], [0.4895424246788025, 0.5681479573249817], [0.4980021119117737, 0.5681626200675964], [0.5036336183547974, 0.5666413307189941], [0.5067604184150696, 0.5655959844589233], [0.506423830986023, 0.5633737444877625], [0.5045448541641235, 0.5572847723960876], [0.4963465929031372, 0.5424041152000427], [0.48456355929374695, 0.5324054956436157], [0.4737929701805115, 0.5248481631278992], [0.4655432105064392, 0.520350992679596], [0.4599394202232361, 0.5160932540893555], [0.4556032419204712, 0.5118054151535034], [0.4519690275192261, 0.5081624388694763], [0.4492487907409668, 0.5055068731307983], [0.44691935181617737, 0.503273069858551], [0.4454042315483093, 0.5016794204711914], [0.4444741904735565, 0.5002176761627197], [0.4437451660633087, 0.4990178048610687], [0.4431290626525879, 0.4981559216976166], [0.4426024854183197, 0.4974255859851837], [0.44219520688056946, 0.4969167113304138], [0.44187235832214355, 0.4965391457080841], [0.441616952419281, 0.4962432086467743], [0.4414161443710327, 0.4959936738014221], [0.44127315282821655, 0.4958115518093109], [0.4411729574203491, 0.49568167328834534], [0.44109687209129333, 0.49558186531066895], [0.4410398304462433, 0.4955056607723236], [0.440997838973999, 0.4954480230808258], [0.44096675515174866, 0.4954060912132263], [0.44094231724739075, 0.4953788220882416], [0.44092604517936707, 0.4953598380088806]]
1752|-445244712.19721925|[[0.48978114128112793, 0.47781601548194885], [0.4876883327960968, 0.47921043634414673], [0.48898401856422424, 0.48087310791015625], [0.49014419317245483, 0.48267775774002075], [0.49096760153770447, 0.48478153347969055], [0.4914530813694, 0.4872649908065796], [0.49146556854248047, 0.4904382526874542], [0.4905787706375122, 0.4946647584438324], [0.48785901069641113, 0.4994924068450928], [0.48549458384513855, 0.5064045786857605], [0.4835084080696106, 0.5177890658378601], [0.486447811126709, 0.5313261151313782], [0.4917092025279999, 0.53761225938797], [0.4935651123523712, 0.5446054935455322], [0.4877443015575409, 0.5518336296081543], [0.4790149927139282, 0.5556789040565491], [0.4752369225025177, 0.5602327585220337], [0.4752296805381775, 0.5640691518783569], [0.4780864417552948, 0.5669121742248535], [0.4800552427768707, 0.5674451589584351], [0.48308685421943665, 0.5673249363899231], [0.4888823330402374, 0.56742924451828], [0.4973762035369873, 0.5677177906036377], [0.5032073259353638, 0.5659536719322205], [0.5063996315002441, 0.5649920105934143], [0.5060257911682129, 0.5628535151481628], [0.504272997379303, 0.5563272833824158], [0.4953842759132385, 0.540384829044342], [0.483095645904541, 0.5311108827590942], [0.4728439748287201, 0.5234758853912354], [0.46511518955230713, 0.5196820497512817], [0.4594285786151886, 0.5153558850288391], [0.4546966850757599, 0.5106703042984009], [0.4508415162563324, 0.5068224668502808], [0.44831326603889465, 0.5040886402130127], [0.44597625732421875, 0.5022510290145874], [0.44447726011276245, 0.5008724927902222], [0.4435594081878662, 0.49923276901245117], [0.4428255558013916, 0.49808016419410706], [0.4421929717063904, 0.49717214703559875], [0.44167691469192505, 0.49657392501831055], [0.44125306606292725, 0.4961705505847931], [0.4409700334072113, 0.4958622455596924], [0.44075798988342285, 0.49562540650367737], [0.4405921399593353, 0.49544212222099304], [0.44045907258987427, 0.49529793858528137], [0.4403561055660248, 0.49518683552742004], [0.44027265906333923, 0.49510657787323], [0.44020548462867737, 0.49504968523979187], [0.44015684723854065, 0.49500858783721924], [0.4401211142539978, 0.4949783384799957], [0.440095454454422, 0.4949565827846527], [0.4400778114795685, 0.4949415326118469]]
2044|-445667686.9964188|[[0.4893660843372345, 0.4780113399028778], [0.4873299300670624, 0.47918012738227844], [0.48860859870910645, 0.4808354079723358], [0.4897538423538208, 0.4826091527938843], [0.4905731976032257, 0.4847224950790405], [0.49100741744041443, 0.4872267544269562], [0.49099409580230713, 0.49055132269859314], [0.490013062953949, 0.4947183132171631], [0.4874325096607208, 0.49992334842681885], [0.4848015308380127, 0.507451057434082], [0.48329269886016846, 0.5198565125465393], [0.48655733466148376, 0.5328677892684937], [0.4928246736526489, 0.538446307182312], [0.4928838312625885, 0.5459341406822205], [0.4854106307029724, 0.5530354976654053], [0.47740593552589417, 0.5572926998138428], [0.4741789400577545, 0.5629207491874695], [0.47516825795173645, 0.5670623183250427], [0.4780231714248657, 0.5698843002319336], [0.48017287254333496, 0.5704649090766907], [0.48342105746269226, 0.5702624917030334], [0.4907189905643463, 0.5705656409263611], [0.49962419271469116, 0.5703226327896118], [0.5055373311042786, 0.5686882734298706], [0.5085970163345337, 0.56757652759552], [0.5084294080734253, 0.5649210214614868], [0.5058584213256836, 0.559775710105896], [0.4986681044101715, 0.5454292893409729], [0.48682355880737305, 0.5339692234992981], [0.4751740097999573, 0.5262134671211243], [0.46619781851768494, 0.5207419991493225], [0.4599827826023102, 0.516581654548645], [0.45555949211120605, 0.5118457078933716], [0.45197081565856934, 0.5084583163261414], [0.4491655230522156, 0.5055922269821167], [0.4467492997646332, 0.5032086968421936], [0.44521281123161316, 0.501160740852356], [0.4443606436252594, 0.4996601343154907], [0.44354119896888733, 0.4983218312263489], [0.4428829848766327, 0.4973793923854828], [0.44233256578445435, 0.49669331312179565], [0.44181764125823975, 0.49623408913612366], [0.44140785932540894, 0.49586376547813416], [0.4411301612854004, 0.49555903673171997], [0.440911203622818, 0.49532175064086914], [0.4407352805137634, 0.49511951208114624], [0.4405970275402069, 0.4949593245983124], [0.44049331545829773, 0.4948394000530243], [0.4404166638851166, 0.49476292729377747], [0.4403568506240845, 0.49470600485801697], [0.4403116703033447, 0.494662880897522], [0.4402781128883362, 0.49463069438934326], [0.4402548670768738, 0.4946073591709137]]
2336|-449114514.39691323|[[0.4878388047218323, 0.4784528315067291], [0.48611369729042053, 0.47958606481552124], [0.48750799894332886, 0.4813544750213623], [0.48856833577156067, 0.48311594128608704], [0.4894479811191559, 0.48514431715011597], [0.4898799955844879, 0.48760658502578735], [0.48988738656044006, 0.4908527433872223], [0.48908740282058716, 0.4947872459888458], [0.4870739281177521, 0.5000566840171814], [0.4841931164264679, 0.5073535442352295], [0.48225319385528564, 0.5190033912658691], [0.48569104075431824, 0.5317097902297974], [0.4913754165172577, 0.5370667576789856], [0.49221017956733704, 0.5442668795585632], [0.4859387278556824, 0.5515740513801575], [0.47811415791511536, 0.5560159087181091], [0.47498175501823425, 0.5609910488128662], [0.47526803612709045, 0.5649898648262024], [0.4779866933822632, 0.5679190158843994], [0.4799545407295227, 0.568543553352356], [0.4830673038959503, 0.5684902667999268], [0.48957911133766174, 0.5686679482460022], [0.49815574288368225, 0.5686567425727844], [0.5038636326789856, 0.5669946074485779], [0.5070242285728455, 0.565957248210907], [0.506941020488739, 0.5633747577667236], [0.5047804117202759, 0.5585836172103882], [0.4976377785205841, 0.5441100001335144], [0.4860561192035675, 0.5332554578781128], [0.4748151898384094, 0.5257065296173096], [0.46639153361320496, 0.5207822322845459], [0.4607160687446594, 0.5168300271034241], [0.4563385248184204, 0.5124043226242065], [0.4526996612548828, 0.5088675022125244], [0.4498486816883087, 0.5060539245605469], [0.44752857089042664, 0.5037901401519775], [0.44593799114227295, 0.5022922158241272], [0.4449298679828644, 0.5008125305175781], [0.44421303272247314, 0.49962228536605835], [0.44357532262802124, 0.49876245856285095], [0.44305697083473206, 0.4980310797691345], [0.4427112638950348, 0.4974827766418457], [0.44239526987075806, 0.49706193804740906], [0.4421349763870239, 0.496722549200058], [0.4419289827346802, 0.49645909667015076], [0.4417904019355774, 0.49627938866615295], [0.44168269634246826, 0.4961392879486084], [0.44159939885139465, 0.4960302412509918], [0.44153541326522827, 0.49594560265541077], [0.4414871037006378, 0.49588245153427124], [0.4414508640766144, 0.49583423137664795], [0.44142407178878784, 0.4957975745201111], [0.4414040744304657, 0.49577099084854126]]
2628|-449869601.1781061|[[0.48754221200942993, 0.4784177839756012], [0.4858436584472656, 0.47950491309165955], [0.48728227615356445, 0.4813111424446106], [0.4883348047733307, 0.483065664768219], [0.48919403553009033, 0.48509782552719116], [0.48964086174964905, 0.48753678798675537], [0.48962491750717163, 0.4907812774181366], [0.4888049364089966, 0.4947212040424347], [0.48689043521881104, 0.5000906586647034], [0.48392850160598755, 0.507439911365509], [0.48203375935554504, 0.5190909504890442], [0.4855920374393463, 0.5316562652587891], [0.4913279712200165, 0.5368912816047668], [0.49192699790000916, 0.5442165732383728], [0.48547643423080444, 0.551541268825531], [0.4778841733932495, 0.5561553239822388], [0.4748035669326782, 0.5612599849700928], [0.475176602602005, 0.5653436183929443], [0.47788310050964355, 0.5682892203330994], [0.4799039661884308, 0.5689380168914795], [0.48299315571784973, 0.5688643455505371], [0.48964762687683105, 0.5690295100212097], [0.49828410148620605, 0.568943440914154], [0.504019558429718, 0.5672670006752014], [0.5071907639503479, 0.5662208199501038], [0.50718092918396, 0.5635298490524292], [0.5048791766166687, 0.5591211318969727], [0.49816176295280457, 0.5449041724205017], [0.4866763949394226, 0.5336610078811646], [0.4751463234424591, 0.5261265635490417], [0.4666629135608673, 0.5209395885467529], [0.46086734533309937, 0.5170848965644836], [0.45656463503837585, 0.5125560760498047], [0.4529305100440979, 0.5091156959533691], [0.4500366151332855, 0.5062654614448547], [0.447720468044281, 0.5039532780647278], [0.44610267877578735, 0.5024054050445557], [0.44509872794151306, 0.5009440183639526], [0.444359689950943, 0.4997236728668213], [0.4437384009361267, 0.49886220693588257], [0.44320759177207947, 0.4981466829776764], [0.4428499937057495, 0.49760186672210693], [0.442537784576416, 0.4971604347229004], [0.44227513670921326, 0.4968186020851135], [0.4420653283596039, 0.49655261635780334], [0.44191229343414307, 0.4963569939136505], [0.441802978515625, 0.4962153732776642], [0.4417182207107544, 0.49610498547554016], [0.4416528344154358, 0.49601906538009644], [0.44160279631614685, 0.4959524869918823], [0.4415649175643921, 0.4959011375904083], [0.44153690338134766, 0.49586325883865356], [0.4415164589881897, 0.4958347976207733]]
2920|-449986817.38253653|[[0.48757418990135193, 0.4783203899860382], [0.4858394265174866, 0.47943127155303955], [0.4872859716415405, 0.48125380277633667], [0.48834148049354553, 0.4830067753791809], [0.48920726776123047, 0.4850342571735382], [0.4896715581417084, 0.48745840787887573], [0.4896617531776428, 0.49067819118499756], [0.488884836435318, 0.49460703134536743], [0.48696476221084595, 0.49992823600769043], [0.48400455713272095, 0.5071648955345154], [0.48200875520706177, 0.5187473893165588], [0.48546960949897766, 0.5314074158668518], [0.49109429121017456, 0.5366736054420471], [0.4919526278972626, 0.5439200401306152], [0.4857572019100189, 0.5513080358505249], [0.47809791564941406, 0.5559622645378113], [0.4750064015388489, 0.5608702898025513], [0.47522830963134766, 0.5649128556251526], [0.4779103100299835, 0.5678772330284119], [0.4798767566680908, 0.5685207843780518], [0.48295965790748596, 0.5684758424758911], [0.48944756388664246, 0.5686135292053223], [0.49801573157310486, 0.5686038136482239], [0.5037203431129456, 0.5668825507164001], [0.5069334506988525, 0.5658624172210693], [0.5068801641464233, 0.5632510781288147], [0.5046740174293518, 0.5586758255958557], [0.49774444103240967, 0.54424649477005], [0.48620814085006714, 0.5333002209663391], [0.474931001663208, 0.5258182883262634], [0.46653929352760315, 0.5208356976509094], [0.46085324883461, 0.5169081091880798], [0.4564291536808014, 0.5124720931053162], [0.45278027653694153, 0.5088953375816345], [0.4499289095401764, 0.506039559841156], [0.4476207494735718, 0.5038085579872131], [0.4460363984107971, 0.5023824572563171], [0.4450034201145172, 0.5009058117866516], [0.44428759813308716, 0.49972081184387207], [0.44366228580474854, 0.498849481344223], [0.44314417243003845, 0.498116672039032], [0.4427948594093323, 0.4975639581680298], [0.4424804449081421, 0.4971596300601959], [0.44221875071525574, 0.4968195855617523], [0.4420210123062134, 0.49656370282173157], [0.44188085198402405, 0.4963829815387726], [0.4417714774608612, 0.4962417781352997], [0.4416866600513458, 0.496132493019104], [0.44162148237228394, 0.49604952335357666], [0.4415714144706726, 0.495985209941864], [0.4415333569049835, 0.4959355592727661], [0.4415048062801361, 0.495897501707077], [0.441483736038208, 0.49586859345436096]]
