292|-518653602.2753653|[[0.44941407442092896, 0.5504352450370789], [0.4528964161872864, 0.5535001754760742], [0.45417237281799316, 0.551964521408081], [0.4557243883609772, 0.5507053732872009], [0.45730385184288025, 0.5495371222496033], [0.45868098735809326, 0.5483503341674805], [0.4598337411880493, 0.5472517609596252], [0.461015522480011, 0.5463491082191467], [0.4627072811126709, 0.5457550287246704], [0.4656522870063782, 0.543161928653717], [0.4732666611671448, 0.5410186052322388], [0.4857827425003052, 0.5349031686782837], [0.48892003297805786, 0.5263481736183167], [0.4844484329223633, 0.5207810401916504], [0.47798028588294983, 0.5172705054283142], [0.47008460760116577, 0.5236729979515076], [0.4615984559059143, 0.5339402556419373], [0.4545466899871826, 0.5423564314842224], [0.4482046961784363, 0.5492238998413086], [0.44306594133377075, 0.5555263757705688], [0.4382780194282532, 0.561457097530365], [0.43306881189346313, 0.5614966750144958], [0.4332357347011566, 0.5592071413993835], [0.43630337715148926, 0.5563454627990723], [0.4387137293815613, 0.5574071407318115], [0.44289860129356384, 0.5585013628005981], [0.4470233619213104, 0.5575477480888367], [0.4523489475250244, 0.5566921830177307], [0.46495240926742554, 0.551807165145874], [0.47328728437423706, 0.5458928346633911], [0.48551657795906067, 0.5411345958709717], [0.4949624836444855, 0.5427218675613403], [0.5023727416992188, 0.5499505996704102], [0.5122382044792175, 0.5537840723991394], [0.520763099193573, 0.555081307888031], [0.5264883041381836, 0.5555868148803711], [0.5309308767318726, 0.5568621158599854], [0.5341684222221375, 0.5578165650367737], [0.5361369848251343, 0.5581743121147156], [0.5373325347900391, 0.5579594969749451], [0.5375908017158508, 0.557634174823761], [0.5376757383346558, 0.5572105050086975], [0.5376642942428589, 0.5568190217018127], [0.53763747215271, 0.5564860701560974], [0.5376101732254028, 0.5561937093734741], [0.5375673770904541, 0.5559311509132385], [0.5375083684921265, 0.5556936264038086], [0.5374454855918884, 0.5554750561714172], [0.5373799800872803, 0.5552707314491272], [0.5373071432113647, 0.5550801157951355], [0.5372262597084045, 0.5549012422561646], [0.5371466279029846, 0.5547277927398682], [0.5370683073997498, 0.5545584559440613]]
584|-518381412.95588875|[[0.45055291056632996, 0.547728419303894], [0.4537859559059143, 0.5504542589187622], [0.4550410807132721, 0.549050509929657], [0.4561568796634674, 0.5479750037193298], [0.4574931263923645, 0.546985924243927], [0.4587002992630005, 0.5459285974502563], [0.45988014340400696, 0.5449123382568359], [0.46112358570098877, 0.5441892743110657], [0.4625261723995209, 0.5434991121292114], [0.46518564224243164, 0.5412558913230896], [0.47179922461509705, 0.5392271876335144], [0.48212721943855286, 0.5355089902877808], [0.48840972781181335, 0.5293665528297424], [0.48265889286994934, 0.5220000743865967], [0.48123374581336975, 0.5179588198661804], [0.472934752702713, 0.5194762349128723], [0.46555042266845703, 0.5279855132102966], [0.4588145911693573, 0.5365437865257263], [0.4534114897251129, 0.5422953367233276], [0.4487465023994446, 0.5477035045623779], [0.44599318504333496, 0.5527124404907227], [0.4418889880180359, 0.5539303421974182], [0.44005531072616577, 0.5508787631988525], [0.4428032636642456, 0.5485034584999084], [0.44365713000297546, 0.54869145154953], [0.4468069076538086, 0.5499191284179688], [0.4509729743003845, 0.5499435067176819], [0.4576098918914795, 0.5487902164459229], [0.46975603699684143, 0.5447468757629395], [0.47941187024116516, 0.5403398871421814], [0.4919109344482422, 0.5374077558517456], [0.4998736083507538, 0.5401245951652527], [0.5082492232322693, 0.5448701977729797], [0.5157555937767029, 0.5484755039215088], [0.5229424834251404, 0.5495133996009827], [0.5278587341308594, 0.5501933693885803], [0.5315456986427307, 0.5506675839424133], [0.5346145033836365, 0.5505487322807312], [0.5367650985717773, 0.5503698587417603], [0.537738025188446, 0.5500680804252625], [0.5380644798278809, 0.5497116446495056], [0.5382319688796997, 0.5493898391723633], [0.5383039712905884, 0.549159049987793], [0.5383313298225403, 0.5489677786827087], [0.5383338928222656, 0.5488122701644897], [0.5382797718048096, 0.5486845374107361], [0.5382204651832581, 0.5485718250274658], [0.538162112236023, 0.548469603061676], [0.5381048917770386, 0.5483769774436951], [0.538037896156311, 0.5483070015907288], [0.5379685759544373, 0.5482445359230042], [0.5379044413566589, 0.5481827855110168], [0.537844717502594, 0.548121452331543]]
876|-520772717.2992543|[[0.4500561058521271, 0.547646701335907], [0.45353153347969055, 0.5507299304008484], [0.45474570989608765, 0.5493244528770447], [0.45582878589630127, 0.5482572913169861], [0.4571142792701721, 0.547284722328186], [0.4583665132522583, 0.5462802648544312], [0.45961660146713257, 0.5453738570213318], [0.4607302248477936, 0.5446332097053528], [0.46216195821762085, 0.5435428023338318], [0.4657132625579834, 0.5412284135818481], [0.4739764928817749, 0.5389160513877869], [0.4847252368927002, 0.5340328216552734], [0.48631301522254944, 0.5274702906608582], [0.4827309250831604, 0.521592915058136], [0.4774130880832672, 0.5179731845855713], [0.46949678659439087, 0.5229820609092712], [0.4617805778980255, 0.533000111579895], [0.4551641345024109, 0.5405378937721252], [0.4490694999694824, 0.5474898815155029], [0.44399842619895935, 0.5533387064933777], [0.43996134400367737, 0.5587940812110901], [0.4349343180656433, 0.5600209832191467], [0.4336567223072052, 0.5575718283653259], [0.43670547008514404, 0.5544800758361816], [0.4394945800304413, 0.5545526742935181], [0.443280428647995, 0.5561559200286865], [0.44719356298446655, 0.5547020435333252], [0.4511692523956299, 0.5536787509918213], [0.4619973301887512, 0.5508520007133484], [0.47182023525238037, 0.5446054935455322], [0.4818613827228546, 0.5404360890388489], [0.4936167001724243, 0.5400528311729431], [0.5001282095909119, 0.5453812479972839], [0.5088207125663757, 0.5495747327804565], [0.516255259513855, 0.5515958070755005], [0.5221608281135559, 0.5521761178970337], [0.5263639092445374, 0.5531202554702759], [0.5295922756195068, 0.5540266036987305], [0.5319362282752991, 0.5546185374259949], [0.533645749092102, 0.5548752546310425], [0.5348290801048279, 0.5548232197761536], [0.535561203956604, 0.5546730160713196], [0.535841166973114, 0.5545997023582458], [0.5359973311424255, 0.5543766617774963], [0.5361176133155823, 0.5541889071464539], [0.5361480116844177, 0.5540398359298706], [0.5361536741256714, 0.5539170503616333], [0.5361388325691223, 0.5538378953933716], [0.5361191630363464, 0.5537670850753784], [0.5360968112945557, 0.5537020564079285], [0.5360725522041321, 0.5536419153213501], [0.536047101020813, 0.5535855889320374], [0.5360214710235596, 0.5535312294960022]]
1168|-363503241.8046258|[[0.5192119479179382, 0.5149977803230286], [0.5202531218528748, 0.5219071507453918], [0.5203145742416382, 0.5212496519088745], [0.5202325582504272, 0.5209572315216064], [0.5200629234313965, 0.5208119750022888], [0.5200022459030151, 0.5206945538520813], [0.5198405981063843, 0.5206609964370728], [0.51941978931427, 0.5205537676811218], [0.518781840801239, 0.520902156829834], [0.5171563029289246, 0.5197665095329285], [0.5169618129730225, 0.5176594853401184], [0.5176597833633423, 0.511154294013977], [0.5165776014328003, 0.5022779107093811], [0.5128796100616455, 0.49461668729782104], [0.5063526034355164, 0.4933624565601349], [0.5005150437355042, 0.4892716705799103], [0.4958467185497284, 0.48550811409950256], [0.4945336580276489, 0.4846579432487488], [0.49392378330230713, 0.4849717915058136], [0.49377182126045227, 0.4871949553489685], [0.4931446611881256, 0.4903254508972168], [0.4938591420650482, 0.49073752760887146], [0.4946986138820648, 0.4912378489971161], [0.49450239539146423, 0.495278000831604], [0.4908730387687683, 0.5003947615623474], [0.49129366874694824, 0.5031391382217407], [0.4896411895751953, 0.5025293231010437], [0.49096164107322693, 0.5085524916648865], [0.4900711476802826, 0.5118095874786377], [0.4880298376083374, 0.5150840878486633], [0.48602402210235596, 0.5192276239395142], [0.48562195897102356, 0.5245431065559387], [0.48560625314712524, 0.5287241339683533], [0.48502877354621887, 0.5307163000106812], [0.4853844940662384, 0.5322856307029724], [0.48536989092826843, 0.533068060874939], [0.4852975308895111, 0.53374183177948], [0.48526468873023987, 0.5342828631401062], [0.48520180583000183, 0.5345619916915894], [0.4850161075592041, 0.5345968008041382], [0.4848431944847107, 0.5345802903175354], [0.48470452427864075, 0.5345773100852966], [0.4845724403858185, 0.5345884561538696], [0.4844572842121124, 0.5345954895019531], [0.48436209559440613, 0.534598708152771], [0.4842844605445862, 0.5345987677574158], [0.4842219352722168, 0.53459632396698], [0.4841720461845398, 0.534591794013977], [0.48413270711898804, 0.5345855951309204], [0.4841019809246063, 0.5345781445503235], [0.4840783178806305, 0.5345696210861206], [0.4840603768825531, 0.5345603227615356], [0.4840470254421234, 0.5345503091812134]]
1460|-688592261.6603823|[[0.4115137457847595, 0.5077827572822571], [0.419561505317688, 0.5088590979576111], [0.42191872000694275, 0.5083611607551575], [0.42410793900489807, 0.5081653594970703], [0.4263633191585541, 0.5081537365913391], [0.4288646876811981, 0.5083334445953369], [0.43183642625808716, 0.5087446570396423], [0.4356086850166321, 0.5093279480934143], [0.4409087598323822, 0.5089709162712097], [0.44862887263298035, 0.5083601474761963], [0.46155333518981934, 0.5082765817642212], [0.47145694494247437, 0.5084623694419861], [0.4761463403701782, 0.5076923370361328], [0.47124817967414856, 0.5104840397834778], [0.4594700336456299, 0.5105105638504028], [0.4463707208633423, 0.5155625939369202], [0.4343145489692688, 0.5233036875724792], [0.4215662479400635, 0.5344955921173096], [0.4105696678161621, 0.5451706051826477], [0.4031997323036194, 0.5549808740615845], [0.3980329930782318, 0.5617905259132385], [0.39395514130592346, 0.563102126121521], [0.39261046051979065, 0.5609928965568542], [0.39417004585266113, 0.5563642978668213], [0.39941084384918213, 0.5504643321037292], [0.4033389389514923, 0.5476813316345215], [0.4123169183731079, 0.5468793511390686], [0.4254559576511383, 0.5435991287231445], [0.43981149792671204, 0.5398832559585571], [0.45031028985977173, 0.5409110188484192], [0.457144558429718, 0.5424259305000305], [0.45453253388404846, 0.5430554151535034], [0.45397305488586426, 0.5407434105873108], [0.45297402143478394, 0.5343340635299683], [0.4504985213279724, 0.5253204703330994], [0.4485073983669281, 0.5195005536079407], [0.44767987728118896, 0.5151434540748596], [0.4478706121444702, 0.5128211975097656], [0.4474477171897888, 0.5112611651420593], [0.4472169876098633, 0.5105884075164795], [0.44708314538002014, 0.5101892352104187], [0.4467771351337433, 0.5103405117988586], [0.44665244221687317, 0.5105263590812683], [0.44651517271995544, 0.5106724500656128], [0.4464019238948822, 0.5108723044395447], [0.44629549980163574, 0.5110852718353271], [0.4462280571460724, 0.5112717747688293], [0.4461941421031952, 0.5114130973815918], [0.4461844563484192, 0.5115310549736023], [0.4462031126022339, 0.5116257667541504], [0.4462195932865143, 0.5117019414901733], [0.4462345838546753, 0.5117620825767517], [0.44624850153923035, 0.5118107199668884]]
1752|-931591157.4392985|[[0.3728799819946289, 0.5242695212364197], [0.38240909576416016, 0.5250242948532104], [0.3850449323654175, 0.5242522954940796], [0.3875771760940552, 0.5236079096794128], [0.3902636766433716, 0.522887647151947], [0.3931974768638611, 0.5219816565513611], [0.3965068757534027, 0.5209222435951233], [0.40068739652633667, 0.5190501809120178], [0.40622156858444214, 0.5155333876609802], [0.41327178478240967, 0.5119059085845947], [0.4235101342201233, 0.5087611079216003], [0.431408166885376, 0.5123183131217957], [0.43061375617980957, 0.5325610041618347], [0.4165326952934265, 0.5614930391311646], [0.4016155004501343, 0.5872236490249634], [0.38879600167274475, 0.6081271171569824], [0.3788299560546875, 0.624267041683197], [0.37118643522262573, 0.6348050236701965], [0.36017847061157227, 0.6426649689674377], [0.3472457230091095, 0.649437665939331], [0.33553802967071533, 0.6509428024291992], [0.3248569071292877, 0.6476147174835205], [0.3175709843635559, 0.639721155166626], [0.3136824071407318, 0.6318867802619934], [0.3132436275482178, 0.6245250701904297], [0.3135782778263092, 0.6205189824104309], [0.3151223957538605, 0.6184601783752441], [0.317815363407135, 0.6171811819076538], [0.3190901577472687, 0.6185091733932495], [0.322495698928833, 0.6193819642066956], [0.32750654220581055, 0.6181802749633789], [0.33047395944595337, 0.6144216656684875], [0.33048194646835327, 0.6143164038658142], [0.32528746128082275, 0.6139225363731384], [0.31602638959884644, 0.611927330493927], [0.30708587169647217, 0.6108509302139282], [0.29781413078308105, 0.6101266741752625], [0.2924140691757202, 0.6110391616821289], [0.28854018449783325, 0.6126917600631714], [0.2846251130104065, 0.6144772171974182], [0.2806119918823242, 0.6150669455528259], [0.2769020199775696, 0.6151013970375061], [0.273690789937973, 0.6152772903442383], [0.2707549035549164, 0.6159128546714783], [0.26824647188186646, 0.6165645718574524], [0.265705943107605, 0.6175532341003418], [0.2655830383300781, 0.6176254153251648], [0.26627832651138306, 0.6173175573348999], [0.26685449481010437, 0.6171760559082031], [0.2672867774963379, 0.6171215772628784], [0.26759403944015503, 0.6171650886535645], [0.2678692936897278, 0.6171918511390686], [0.2681191563606262, 0.6171957850456238]]
2044|-1413948878.8998165|[[0.34946995973587036, 0.512658953666687], [0.3508737087249756, 0.510107696056366], [0.3525065779685974, 0.5092685222625732], [0.3540783226490021, 0.5086283683776855], [0.3560580909252167, 0.5080759525299072], [0.35867977142333984, 0.5075941681861877], [0.36282140016555786, 0.5073777437210083], [0.36926501989364624, 0.5081309080123901], [0.3780970573425293, 0.5101576447486877], [0.3892638087272644, 0.5137603282928467], [0.4013746976852417, 0.5202237963676453], [0.40246421098709106, 0.539513111114502], [0.38253435492515564, 0.5775240659713745], [0.34890344738960266, 0.6216638684272766], [0.32270655035972595, 0.659693717956543], [0.2974103093147278, 0.6950300931930542], [0.2783932089805603, 0.723039448261261], [0.26283353567123413, 0.7468132972717285], [0.24895808100700378, 0.7654861807823181], [0.23638972640037537, 0.7773306965827942], [0.22529390454292297, 0.7843101620674133], [0.21596121788024902, 0.7858011722564697], [0.20783981680870056, 0.7818996906280518], [0.20560985803604126, 0.7723432779312134], [0.2096714973449707, 0.7575083374977112], [0.21763098239898682, 0.7387292981147766], [0.225087970495224, 0.7238953113555908], [0.23326754570007324, 0.709833025932312], [0.23966708779335022, 0.697642982006073], [0.24684268236160278, 0.6885637044906616], [0.2540584206581116, 0.6815522313117981], [0.25943848490715027, 0.6798477172851562], [0.2643370032310486, 0.6786698698997498], [0.26919567584991455, 0.6754175424575806], [0.2748699188232422, 0.6720448732376099], [0.2737988829612732, 0.6707315444946289], [0.2702172100543976, 0.670171856880188], [0.265884131193161, 0.6702815294265747], [0.2598915994167328, 0.6728978157043457], [0.2551053464412689, 0.6725934743881226], [0.2498936653137207, 0.6710660457611084], [0.24251043796539307, 0.6678231358528137], [0.23496225476264954, 0.6647348999977112], [0.2282305359840393, 0.6622335314750671], [0.22296768426895142, 0.6607102155685425], [0.21830210089683533, 0.6586565375328064], [0.21386560797691345, 0.6562026739120483], [0.2098170518875122, 0.653815507888794], [0.20611721277236938, 0.6515480279922485], [0.20280471444129944, 0.6496965885162354], [0.20020949840545654, 0.6485595703125], [0.19780254364013672, 0.6476241946220398], [0.1952662467956543, 0.6468818187713623]]
2336|-1349627438.0275064|[[0.3581802248954773, 0.5083047747612], [0.36192071437835693, 0.5130322575569153], [0.36305248737335205, 0.5129899382591248], [0.3641357123851776, 0.5131259560585022], [0.3655124306678772, 0.5134449005126953], [0.36746835708618164, 0.5138745307922363], [0.3698856830596924, 0.5144014358520508], [0.37268713116645813, 0.5155613422393799], [0.3765973448753357, 0.5175086259841919], [0.3792925477027893, 0.5247019529342651], [0.3764307498931885, 0.5403831005096436], [0.3617445230484009, 0.5630949139595032], [0.3368735909461975, 0.5992544889450073], [0.31127965450286865, 0.6353613138198853], [0.29625868797302246, 0.6565480828285217], [0.28748375177383423, 0.6718424558639526], [0.2821279764175415, 0.6851431131362915], [0.2764208912849426, 0.6940686106681824], [0.27183207869529724, 0.7036105990409851], [0.2713977098464966, 0.70965576171875], [0.2707538306713104, 0.7127881646156311], [0.27207130193710327, 0.7119278907775879], [0.27792561054229736, 0.7057521343231201], [0.2855073809623718, 0.6957542896270752], [0.2946356534957886, 0.684146523475647], [0.3003459572792053, 0.6730737686157227], [0.29968225955963135, 0.6646713018417358], [0.29667121171951294, 0.6568427085876465], [0.2922043204307556, 0.651404619216919], [0.2881791293621063, 0.6473270058631897], [0.2846006155014038, 0.6475292444229126], [0.2806737422943115, 0.6507912278175354], [0.27318358421325684, 0.6546862125396729], [0.2636675238609314, 0.6588038206100464], [0.2518945038318634, 0.6613796949386597], [0.2410174012184143, 0.6643760204315186], [0.23247885704040527, 0.6638914942741394], [0.22694188356399536, 0.6596282720565796], [0.2215462327003479, 0.6551291346549988], [0.21763935685157776, 0.6513695120811462], [0.2145712971687317, 0.6461731195449829], [0.21374014019966125, 0.6408376097679138], [0.21237704157829285, 0.6375834941864014], [0.21028777956962585, 0.6340250968933105], [0.20833921432495117, 0.6314063668251038], [0.20586848258972168, 0.6290990114212036], [0.20259535312652588, 0.6271145343780518], [0.19924384355545044, 0.6257848739624023], [0.19598963856697083, 0.6247150897979736], [0.1930568814277649, 0.6240289807319641], [0.1903228759765625, 0.6236274838447571], [0.18768242001533508, 0.6234685182571411], [0.1850174367427826, 0.6236426830291748]]
2628|-1615643167.6056676|[[0.3330698013305664, 0.5527384877204895], [0.334694504737854, 0.5558593273162842], [0.33656442165374756, 0.554999053478241], [0.33833616971969604, 0.5543287396430969], [0.34010952711105347, 0.5538187026977539], [0.34223803877830505, 0.5534970760345459], [0.3447428345680237, 0.5537003874778748], [0.3470460772514343, 0.5547337532043457], [0.3483486473560333, 0.5575143694877625], [0.34865686297416687, 0.5640879273414612], [0.3454679846763611, 0.577543318271637], [0.3297862112522125, 0.6048443913459778], [0.3047141432762146, 0.6431189775466919], [0.27407944202423096, 0.6836769580841064], [0.2509189248085022, 0.7180773615837097], [0.23478376865386963, 0.7443996071815491], [0.22504398226737976, 0.7631356716156006], [0.2196844518184662, 0.7781255841255188], [0.21766674518585205, 0.7874975204467773], [0.2188689410686493, 0.7930797338485718], [0.22398686408996582, 0.7943905591964722], [0.2338673174381256, 0.7906885743141174], [0.24919870495796204, 0.782214879989624], [0.2693217396736145, 0.7695862054824829], [0.28892654180526733, 0.7542374134063721], [0.30767062306404114, 0.7368420362472534], [0.3119317889213562, 0.7283122539520264], [0.3091556131839752, 0.7220008969306946], [0.3027326464653015, 0.7206019759178162], [0.29090404510498047, 0.720994234085083], [0.27521011233329773, 0.7205104231834412], [0.2608259916305542, 0.7190203666687012], [0.24967482686042786, 0.7175299525260925], [0.23846161365509033, 0.7175186276435852], [0.2278861701488495, 0.7171995639801025], [0.21947336196899414, 0.7158913612365723], [0.2136315107345581, 0.7153547406196594], [0.2089138925075531, 0.7150043249130249], [0.2044631540775299, 0.7139790058135986], [0.2015218436717987, 0.7143389582633972], [0.19994932413101196, 0.712124228477478], [0.1993493139743805, 0.7086136937141418], [0.19967615604400635, 0.7050405740737915], [0.20011630654335022, 0.7022912502288818], [0.20068883895874023, 0.7004933953285217], [0.2007659375667572, 0.6988241672515869], [0.1998588740825653, 0.6971324682235718], [0.198224276304245, 0.6956615447998047], [0.19620591402053833, 0.6942766904830933], [0.1937207579612732, 0.6926823854446411], [0.19118618965148926, 0.6915692090988159], [0.1885935664176941, 0.690798282623291], [0.18591076135635376, 0.6903221011161804]]
2920|-1533896513.2298257|[[0.35229411721229553, 0.6031332015991211], [0.35391271114349365, 0.604727566242218], [0.35481032729148865, 0.6032666563987732], [0.35540032386779785, 0.6021307110786438], [0.35572218894958496, 0.6013281345367432], [0.35601532459259033, 0.6005844473838806], [0.3560428023338318, 0.6000831127166748], [0.3558123707771301, 0.6000384092330933], [0.3551781177520752, 0.6006531119346619], [0.3533635139465332, 0.6026489734649658], [0.34781718254089355, 0.6086167097091675], [0.33330973982810974, 0.6258373260498047], [0.3086116313934326, 0.653874397277832], [0.2782304286956787, 0.6871085166931152], [0.2530553936958313, 0.7159091830253601], [0.23708227276802063, 0.7371038198471069], [0.22862032055854797, 0.7517795562744141], [0.22492077946662903, 0.762788712978363], [0.22594261169433594, 0.7671389579772949], [0.22867557406425476, 0.7690749168395996], [0.23362582921981812, 0.767023503780365], [0.23845914006233215, 0.7653028964996338], [0.24309417605400085, 0.7632352709770203], [0.24750226736068726, 0.7610719203948975], [0.2507812976837158, 0.7629573345184326], [0.2510095536708832, 0.7660785913467407], [0.24365371465682983, 0.7723941802978516], [0.2308792769908905, 0.7784097194671631], [0.2201397716999054, 0.7819890975952148], [0.21248456835746765, 0.7838541269302368], [0.20711427927017212, 0.7853936553001404], [0.20309412479400635, 0.7837638854980469], [0.20238184928894043, 0.7795222997665405], [0.2020852267742157, 0.7743340730667114], [0.20232227444648743, 0.7676138877868652], [0.20268642902374268, 0.7615245580673218], [0.202455073595047, 0.7547067999839783], [0.20205488801002502, 0.7480252981185913], [0.2026689052581787, 0.7425289154052734], [0.2043248414993286, 0.7373566627502441], [0.20500531792640686, 0.7327603101730347], [0.20522579550743103, 0.728185772895813], [0.20538324117660522, 0.7225267291069031], [0.20549574494361877, 0.7163474559783936], [0.2054714560508728, 0.710842490196228], [0.2050831913948059, 0.7064907550811768], [0.20457932353019714, 0.7023597359657288], [0.20342296361923218, 0.6984988451004028], [0.20213183760643005, 0.6953104734420776], [0.2002522051334381, 0.6925545930862427], [0.19818931818008423, 0.6899173259735107], [0.1957874596118927, 0.6876021027565002], [0.19307982921600342, 0.6858060956001282]]
