292|-14364995220.599813|[[0.0, 0.11797576397657394], [0.0, 0.11795447021722794], [0.0, 0.11788398772478104], [0.0, 0.11768694967031479], [0.0, 0.11727292090654373], [0.0, 0.11648058146238327], [0.0, 0.11502239853143692], [0.0, 0.11238592863082886], [0.0, 0.10765659064054489], [0.0, 0.09919919818639755], [0.0, 0.08409220725297928], [0.0, 0.0571880079805851], [0.0, 0.009996776469051838], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.005141177214682102, 0.0], [0.017377525568008423, 0.0], [0.026017703115940094, 0.0], [0.031936198472976685, 0.0], [0.03580816835165024, 0.0], [0.03812786191701889, 0.0], [0.03924933448433876, 0.0], [0.039426349103450775, 0.0], [0.03884429857134819, 0.0], [0.03764348477125168, 0.0], [0.03593574836850166, 0.0], [0.03381595015525818, 0.0], [0.03136999160051346, 0.0], [0.028680048882961273, 0.0], [0.025827854871749878, 0.0], [0.02289586141705513, 0.0], [0.019966844469308853, 0.0], [0.01712185889482498, 0.0], [0.014437130652368069, 0.0], [0.011980189941823483, 0.0], [0.009806151501834393, 0.0], [0.007954644970595837, 0.0], [0.00644797645509243, 0.0], [0.0052907420322299, 0.0], [0.004471093416213989, 0.0], [0.003963072784245014, 0.0], [0.0037299925461411476, 0.0], [0.0037280265241861343, 0.0], [0.003909848164767027, 0.0]]
584|-14002353894.57747|[[0.03656792268157005, 0.03450530767440796], [0.03603115305304527, 0.037274956703186035], [0.03562217950820923, 0.039178162813186646], [0.035343438386917114, 0.040349081158638], [0.03521963208913803, 0.0408347025513649], [0.035317838191986084, 0.04052578657865524], [0.035776536911726, 0.03908628970384598], [0.03685877099633217, 0.03580684959888458], [0.03904697299003601, 0.029324369505047798], [0.043203145265579224, 0.017104731872677803], [0.050801828503608704, 0.0], [0.06400046497583389, 0.0], [0.08399497717618942, 0.0], [0.1063307523727417, 0.0], [0.11888544261455536, 0.0], [0.12068098783493042, 0.0], [0.11535459756851196, 0.0], [0.10569684207439423, 0.0], [0.0934654176235199, 0.0], [0.07923854142427444, 0.0], [0.06361372768878937, 0.0], [0.047234393656253815, 0.0], [0.030781131237745285, 0.0], [0.015332852490246296, 0.0], [0.0020380737259984016, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.00012926757335662842, 0.0], [0.0014950698241591454, 0.0], [0.002437419258058071, 0.0], [0.0029862215742468834, 0.0], [0.003180968575179577, 0.0], [0.0030696047469973564, 0.0], [0.0027060871943831444, 0.0], [0.002147330902516842, 0.0], [0.0014500608667731285, 0.0]]
876|-12130107567.926632|[[0.2532098591327667, 0.17309211194515228], [0.24238955974578857, 0.18353423476219177], [0.23243369162082672, 0.18795543909072876], [0.2243516892194748, 0.18930362164974213], [0.21821704506874084, 0.1892060488462448], [0.2136629968881607, 0.18836545944213867], [0.21019956469535828, 0.18695995211601257], [0.2073458582162857, 0.18485985696315765], [0.20464369654655457, 0.18169088661670685], [0.2016049176454544, 0.17678874731063843], [0.1976073980331421, 0.16905637085437775], [0.19171446561813354, 0.15669840574264526], [0.18234047293663025, 0.13677054643630981], [0.16659033298492432, 0.10445624589920044], [0.13902659714221954, 0.05214071273803711], [0.09046687185764313, 0.0], [0.016591761261224747, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1168|-12210337045.33327|[[0.19003941118717194, 0.22888527810573578], [0.1720709651708603, 0.2455185353755951], [0.16076529026031494, 0.25480222702026367], [0.15402041375637054, 0.26015567779541016], [0.15022166073322296, 0.2633703947067261], [0.14826616644859314, 0.2653384506702423], [0.1474289894104004, 0.26648375391960144], [0.1472359299659729, 0.2669650614261627], [0.14736466109752655, 0.2667591869831085], [0.14756986498832703, 0.2656767964363098], [0.14762040972709656, 0.2633306086063385], [0.14723141491413116, 0.2590544521808624], [0.14596247673034668, 0.25175511837005615], [0.14302578568458557, 0.23966076970100403], [0.13688631355762482, 0.21990959346294403], [0.12446492165327072, 0.18793800473213196], [0.10010123997926712, 0.13689950108528137], [0.057451412081718445, 0.05907967686653137], [0.00274495966732502, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
1460|-10198000154.701197|[[0.1888386756181717, 0.4631989598274231], [0.1728958934545517, 0.46931564807891846], [0.1627037078142166, 0.47221192717552185], [0.15650218725204468, 0.47418904304504395], [0.15292711555957794, 0.47606271505355835], [0.15104174613952637, 0.47803279757499695], [0.15023313462734222, 0.48008036613464355], [0.15011265873908997, 0.48211774230003357], [0.1504407525062561, 0.48403477668762207], [0.1510755568742752, 0.48570486903190613], [0.15193937718868256, 0.4869745969772339], [0.15299798548221588, 0.48764678835868835], [0.15424785017967224, 0.4874555170536041], [0.15570782124996185, 0.4860329329967499], [0.1574123501777649, 0.4828602075576782], [0.1594013273715973, 0.4771951735019684], [0.16169993579387665, 0.467958927154541], [0.16427433490753174, 0.453554630279541], [0.16693684458732605, 0.43157240748405457], [0.1691533625125885, 0.3983146846294403], [0.1697007715702057, 0.34811142086982727], [0.16629157960414886, 0.2728427052497864], [0.15625543892383575, 0.16434311866760254], [0.1405160129070282, 0.02522101253271103], [0.12407871335744858, 0.0], [0.1070404052734375, 0.0], [0.08837941288948059, 0.0], [0.06921407580375671, 0.0], [0.050502076745033264, 0.0], [0.032787833362817764, 0.0], [0.01665983721613884, 0.0], [0.0028297267854213715, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.001974688842892647, 0.0], [0.0060392115265131, 0.0], [0.009301603771746159, 0.0], [0.011943290010094643, 0.0], [0.014067658223211765, 0.0], [0.01573735475540161, 0.0], [0.016995567828416824, 0.0], [0.01787804625928402, 0.0]]
1752|-6310227583.646826|[[0.3703160285949707, 0.5083699226379395], [0.34687986969947815, 0.5284662842750549], [0.32752618193626404, 0.5359007716178894], [0.31341680884361267, 0.5390458106994629], [0.30399444699287415, 0.5416615605354309], [0.2980938255786896, 0.5449157357215881], [0.294589638710022, 0.5489135384559631], [0.2926204204559326, 0.553443968296051], [0.29159530997276306, 0.5582597851753235], [0.29113247990608215, 0.5631540417671204], [0.29099300503730774, 0.5679650902748108], [0.29102960228919983, 0.5725632905960083], [0.2911515533924103, 0.5768345594406128], [0.2913013994693756, 0.5806682109832764], [0.2914395034313202, 0.5839464664459229], [0.29153454303741455, 0.5865356922149658], [0.29155540466308594, 0.5882796049118042], [0.2914658486843109, 0.5889905691146851], [0.2912185788154602, 0.5884417295455933], [0.2907499372959137, 0.586357831954956], [0.28997376561164856, 0.5824038982391357], [0.288775235414505, 0.5761741995811462], [0.28700515627861023, 0.567180335521698], [0.28447550535202026, 0.5548413991928101], [0.28095945715904236, 0.5384811162948608], [0.2761989235877991, 0.5173389315605164], [0.269926518201828, 0.49061399698257446], [0.26190808415412903, 0.45756468176841736], [0.25200825929641724, 0.41768699884414673], [0.2402593195438385, 0.37095460295677185], [0.2268846035003662, 0.31802070140838623], [0.2122337520122528, 0.26024433970451355], [0.19666621088981628, 0.19951456785202026], [0.18048079311847687, 0.13798540830612183], [0.16393136978149414, 0.07781931012868881], [0.14728257060050964, 0.02095642313361168], [0.13085103034973145, 0.0], [0.11484082043170929, 0.0], [0.09984199702739716, 0.0], [0.08662650734186172, 0.0], [0.07572510838508606, 0.0], [0.06738321483135223, 0.0], [0.06158289313316345, 0.0], [0.05811237171292305, 0.0], [0.05665316432714462, 0.0], [0.05685383081436157, 0.0], [0.05837812274694443, 0.0], [0.06092836707830429, 0.0], [0.06425219774246216, 0.0], [0.06814095377922058, 0.0], [0.0724240317940712, 0.0], [0.07696270942687988, 0.0], [0.08164432644844055, 0.0]]
2044|-1198394423.6186943|[[0.601564347743988, 0.4431004822254181], [0.5769681334495544, 0.4837489426136017], [0.5408886671066284, 0.5000913739204407], [0.5073278546333313, 0.5083776116371155], [0.4821554124355316, 0.5168771147727966], [0.4649861752986908, 0.5277965664863586], [0.4534059166908264, 0.5408375263214111], [0.4451887309551239, 0.5551849007606506], [0.438809871673584, 0.570147693157196], [0.433341920375824, 0.585250973701477], [0.4282523989677429, 0.6001865863800049], [0.4232454001903534, 0.6147520542144775], [0.4181601405143738, 0.6288080811500549], [0.412911981344223, 0.6422523856163025], [0.40745845437049866, 0.655005156993866], [0.40178126096725464, 0.6670016646385193], [0.395876407623291, 0.6781887412071228], [0.38974905014038086, 0.6885238289833069], [0.38341081142425537, 0.6979743242263794], [0.37687864899635315, 0.7065180540084839], [0.37017396092414856, 0.7141442894935608], [0.36332282423973083, 0.7208542227745056], [0.35635489225387573, 0.7266610860824585], [0.34930381178855896, 0.7315910458564758], [0.34220632910728455, 0.735683023929596], [0.3351016044616699, 0.7389878630638123], [0.3280307352542877, 0.7415682673454285], [0.3210355043411255, 0.7434970736503601], [0.31415754556655884, 0.7448554039001465], [0.30743736028671265, 0.7457313537597656], [0.30091312527656555, 0.746216893196106], [0.2946200668811798, 0.746406078338623], [0.2885892689228058, 0.746391773223877], [0.2828472852706909, 0.7462641596794128], [0.27741578221321106, 0.7461074590682983], [0.27231094241142273, 0.7459986209869385], [0.2675436735153198, 0.746005654335022], [0.26311954855918884, 0.7461863160133362], [0.25903916358947754, 0.7465878129005432], [0.2552984058856964, 0.7472459673881531], [0.2518889904022217, 0.7481861114501953], [0.248799130320549, 0.7494228482246399], [0.24601386487483978, 0.7509615421295166], [0.2435157746076584, 0.7527987360954285], [0.24128565192222595, 0.7549235820770264], [0.23930293321609497, 0.7573190927505493], [0.23754623532295227, 0.7599630355834961], [0.23599383234977722, 0.7628295421600342], [0.23462404310703278, 0.7658897638320923], [0.23341552913188934, 0.769113302230835], [0.23234771192073822, 0.7724687457084656], [0.23140086233615875, 0.7759249210357666], [0.23055632412433624, 0.7794511318206787]]
2336|-468956636.0888356|[[0.8062002062797546, 0.5608099102973938], [0.7791796326637268, 0.5465300679206848], [0.7179508209228516, 0.5117030143737793], [0.6594970226287842, 0.48499995470046997], [0.6199029088020325, 0.4756518006324768], [0.5964598655700684, 0.479881227016449], [0.5825952291488647, 0.49204981327056885], [0.5735906958580017, 0.5083301067352295], [0.5667840838432312, 0.5265761613845825], [0.560797393321991, 0.5456510782241821], [0.5549464821815491, 0.5649534463882446], [0.5489037036895752, 0.5841521620750427], [0.5425222516059875, 0.6030504703521729], [0.5357486009597778, 0.6215187311172485], [0.5285797715187073, 0.6394608616828918], [0.521041989326477, 0.6568010449409485], [0.5131803750991821, 0.6734761595726013], [0.5050525069236755, 0.6894341707229614], [0.49672505259513855, 0.704633891582489], [0.4882700741291046, 0.719045102596283], [0.47976255416870117, 0.7326489686965942], [0.47127729654312134, 0.7454386353492737], [0.4628864526748657, 0.757418692111969], [0.45465704798698425, 0.7686048150062561], [0.44664883613586426, 0.7790224552154541], [0.4389124810695648, 0.7887057662010193], [0.43148893117904663, 0.7976957559585571], [0.42440861463546753, 0.8060382604598999], [0.4176913797855377, 0.8137819170951843], [0.41134756803512573, 0.8209766745567322], [0.4053786098957062, 0.8276718258857727], [0.3997783660888672, 0.8339143991470337], [0.3945346474647522, 0.8397483229637146], [0.3896302580833435, 0.8452132940292358], [0.3850446343421936, 0.850344717502594], [0.3807547390460968, 0.8551733493804932], [0.37673628330230713, 0.8597249984741211], [0.37296444177627563, 0.8640216588973999], [0.36941462755203247, 0.8680812120437622], [0.3660629689693451, 0.8719178438186646], [0.3628867566585541, 0.8755432963371277], [0.3598647117614746, 0.878966748714447], [0.3569771349430084, 0.8821956515312195], [0.3542061746120453, 0.8852360844612122], [0.3515356779098511, 0.8880928158760071], [0.34895119071006775, 0.8907704949378967], [0.34644004702568054, 0.8932732939720154], [0.34399116039276123, 0.8956049084663391], [0.3415950536727905, 0.8977694511413574], [0.33924344182014465, 0.8997707962989807], [0.3369295299053192, 0.9016135334968567], [0.33464759588241577, 0.9033020734786987], [0.33239278197288513, 0.9048411250114441]]
2628|-198488601.27401978|[[0.8226139545440674, 0.5805057287216187], [0.7992421388626099, 0.6253492832183838], [0.7383514642715454, 0.6253464221954346], [0.6779886484146118, 0.6163296699523926], [0.6366391777992249, 0.6164147257804871], [0.6122769117355347, 0.6265110373497009], [0.5980405807495117, 0.6428053975105286], [0.5889073014259338, 0.6621766686439514], [0.5820565819740295, 0.6827837824821472], [0.5760511755943298, 0.7036388516426086], [0.5701968669891357, 0.7242234945297241], [0.5641776323318481, 0.7442622184753418], [0.557866632938385, 0.7636027336120605], [0.5512322783470154, 0.7821561694145203], [0.5442912578582764, 0.7998671531677246], [0.5370862483978271, 0.8167007565498352], [0.5296728014945984, 0.8326349854469299], [0.5221128463745117, 0.8476580381393433], [0.5144697427749634, 0.8617671728134155], [0.5068053603172302, 0.8749679923057556], [0.4991772472858429, 0.8872740268707275], [0.4916367530822754, 0.8987059593200684], [0.4842282235622406, 0.9092914462089539], [0.47698795795440674, 0.9190636873245239], [0.46994438767433167, 0.9280604720115662], [0.4631180763244629, 0.936322808265686], [0.45652255415916443, 0.9438940286636353], [0.4501650035381317, 0.9508181810379028], [0.4440472424030304, 0.9571390748023987], [0.4381664991378784, 0.9628997445106506], [0.43251681327819824, 0.9681413769721985], [0.4270895719528198, 0.9729029536247253], [0.42187437415122986, 0.9772211313247681], [0.4168596565723419, 0.9811296463012695], [0.412033349275589, 0.9846600890159607], [0.40738311409950256, 0.9878407716751099], [0.4028969705104828, 0.9906983375549316], [0.39856311678886414, 0.9932565093040466], [0.39437049627304077, 0.995537281036377], [0.39030876755714417, 0.9975607991218567], [0.38636818528175354, 0.999345064163208], [0.3825397789478302, 1.0], [0.3788154423236847, 1.0], [0.37518778443336487, 1.0], [0.3716501295566559, 1.0], [0.36819639801979065, 1.0], [0.36482125520706177, 1.0], [0.3615199625492096, 1.0], [0.3582882285118103, 1.0], [0.3551221191883087, 1.0], [0.3520183563232422, 1.0], [0.34897392988204956, 1.0], [0.3459860384464264, 1.0]]
2920|-131846681.20651466|[[0.9279783368110657, 0.577945351600647], [0.8987411856651306, 0.6897157430648804], [0.8182436227798462, 0.7251186370849609], [0.7403425574302673, 0.7350109219551086], [0.6883528828620911, 0.7466592788696289], [0.6573352813720703, 0.7642483115196228], [0.63795006275177, 0.785563588142395], [0.6241132020950317, 0.8084387183189392], [0.6126202344894409, 0.8315591812133789], [0.601906418800354, 0.854199230670929], [0.5912454724311829, 0.8759583830833435], [0.5803252458572388, 0.8966049551963806], [0.5690377950668335, 0.9159956574440002], [0.5573773980140686, 0.9340371489524841], [0.5453912019729614, 0.9506675601005554], [0.5331549644470215, 0.9658483862876892], [0.520758330821991, 0.979562520980835], [0.5082964301109314, 0.9918124079704285], [0.49586382508277893, 1.0], [0.4835491180419922, 1.0], [0.47143131494522095, 1.0], [0.4595775306224823, 1.0], [0.4480421841144562, 1.0], [0.43686676025390625, 1.0], [0.4260801076889038, 1.0], [0.41569942235946655, 1.0], [0.4057316482067108, 1.0], [0.3961755633354187, 1.0], [0.38702312111854553, 1.0], [0.37826162576675415, 1.0], [0.36987507343292236, 1.0], [0.361845463514328, 1.0], [0.3541537821292877, 1.0], [0.34678083658218384, 1.0], [0.3397078514099121, 1.0], [0.3329165279865265, 1.0], [0.32638975977897644, 1.0], [0.3201112449169159, 1.0], [0.31406593322753906, 1.0], [0.3082398474216461, 1.0], [0.3026200532913208, 1.0], [0.2971945106983185, 1.0], [0.29195234179496765, 1.0], [0.28688332438468933, 1.0], [0.28197816014289856, 1.0], [0.2772281765937805, 1.0], [0.27262547612190247, 1.0], [0.26816269755363464, 1.0], [0.26383307576179504, 1.0], [0.2596302330493927, 1.0], [0.25554847717285156, 1.0], [0.25158217549324036, 1.0], [0.2477264702320099, 1.0]]
