292|-1266596870.7887385|[[0.6335118412971497, 0.5071026682853699], [0.6149338483810425, 0.4871687889099121], [0.6101874709129333, 0.4853798747062683], [0.6124066114425659, 0.4880738854408264], [0.6073476076126099, 0.4867391288280487], [0.6008395552635193, 0.4834758937358856], [0.599981963634491, 0.4802669882774353], [0.5975291728973389, 0.4784359037876129], [0.5941969752311707, 0.4787040650844574], [0.5903348922729492, 0.4783371090888977], [0.5853691697120667, 0.4783974587917328], [0.5791735053062439, 0.4787338674068451], [0.5727994441986084, 0.47967126965522766], [0.566210150718689, 0.48077064752578735], [0.5605661273002625, 0.48294714093208313], [0.5557063817977905, 0.48533597588539124], [0.5509965419769287, 0.4874100387096405], [0.547378420829773, 0.48944640159606934], [0.5451859831809998, 0.4929124116897583], [0.5407359600067139, 0.498029887676239], [0.5377606749534607, 0.5037382245063782], [0.5345743894577026, 0.5088590979576111], [0.5315706729888916, 0.5116284489631653], [0.5304024815559387, 0.5145723223686218], [0.5285310745239258, 0.5188313722610474], [0.5248841047286987, 0.5206922292709351], [0.5206873416900635, 0.5184440612792969], [0.5178990960121155, 0.5150651931762695], [0.517708957195282, 0.5125041007995605], [0.5185006260871887, 0.5104914307594299], [0.5194419622421265, 0.5093438625335693], [0.5201107263565063, 0.5086302161216736], [0.5200369358062744, 0.5082929134368896], [0.51994788646698, 0.5075898766517639], [0.5186226963996887, 0.5067294239997864], [0.5175437927246094, 0.5060991644859314], [0.5170810222625732, 0.5060585141181946], [0.5165930390357971, 0.5067370533943176], [0.5161387920379639, 0.5078192353248596], [0.5159651041030884, 0.5094771385192871], [0.5160439610481262, 0.5118025541305542], [0.5165037512779236, 0.5139879584312439], [0.5162571668624878, 0.5155240297317505], [0.5156992077827454, 0.517145037651062], [0.5149263143539429, 0.5189089775085449], [0.5142256617546082, 0.5204635262489319], [0.5138521194458008, 0.5219831466674805], [0.5135348439216614, 0.5237684845924377], [0.5130340456962585, 0.5251656770706177], [0.512658953666687, 0.5265743136405945], [0.5123896598815918, 0.5278799533843994], [0.5119761228561401, 0.528993546962738], [0.5115686058998108, 0.5296164155006409]]
584|-1258215979.2070167|[[0.6356430053710938, 0.507450520992279], [0.615246057510376, 0.48906564712524414], [0.6085161566734314, 0.48491907119750977], [0.6125063896179199, 0.4880002737045288], [0.6076634526252747, 0.48649752140045166], [0.6015036106109619, 0.48311981558799744], [0.6006699800491333, 0.4802033007144928], [0.5982533693313599, 0.47870659828186035], [0.5947525501251221, 0.4784766435623169], [0.5911174416542053, 0.47832584381103516], [0.5864149928092957, 0.4782712161540985], [0.5803574919700623, 0.4786657989025116], [0.5741875171661377, 0.4795946776866913], [0.5678374767303467, 0.48068562150001526], [0.5617904663085938, 0.4822970926761627], [0.5569608211517334, 0.48450037837028503], [0.5521277189254761, 0.4864940941333771], [0.5481555461883545, 0.48838791251182556], [0.5462356805801392, 0.49081364274024963], [0.5433716773986816, 0.4950267970561981], [0.5397319197654724, 0.5003865957260132], [0.5370578765869141, 0.5053929090499878], [0.5348978042602539, 0.5093135237693787], [0.5319527983665466, 0.5121402144432068], [0.5309880971908569, 0.5149016976356506], [0.529473066329956, 0.5177391171455383], [0.5269691944122314, 0.5195043087005615], [0.523862898349762, 0.5185962915420532], [0.5209208726882935, 0.51667720079422], [0.5180252194404602, 0.5159779787063599], [0.5180832147598267, 0.5141786336898804], [0.518415629863739, 0.513204038143158], [0.5185722708702087, 0.5125297904014587], [0.5186798572540283, 0.5128728747367859], [0.5180978775024414, 0.5132773518562317], [0.5170692205429077, 0.5136450529098511], [0.5159921646118164, 0.51435786485672], [0.5153967142105103, 0.5147756338119507], [0.515368640422821, 0.5157332420349121], [0.514815628528595, 0.5163859724998474], [0.5146240592002869, 0.5172450542449951], [0.5142011642456055, 0.5180600881576538], [0.5135971307754517, 0.5190607309341431], [0.5131344795227051, 0.5206059217453003], [0.5129646062850952, 0.5221068263053894], [0.5128195881843567, 0.5234719514846802], [0.5126083493232727, 0.5250815749168396], [0.5123538374900818, 0.5265249013900757], [0.5121060609817505, 0.5276378989219666], [0.5118047595024109, 0.5286529064178467], [0.511437177658081, 0.5296095609664917], [0.511042594909668, 0.530448317527771], [0.5106804966926575, 0.5312280654907227]]
876|-1270354955.4847076|[[0.6352452039718628, 0.5069068670272827], [0.6151700615882874, 0.49010148644447327], [0.6066663861274719, 0.48430079221725464], [0.612115204334259, 0.4874114394187927], [0.6087850332260132, 0.48734432458877563], [0.6012554168701172, 0.4836098849773407], [0.598943829536438, 0.4816396236419678], [0.5972844362258911, 0.4795475900173187], [0.5936461687088013, 0.4786338806152344], [0.589765727519989, 0.4786754846572876], [0.5855275988578796, 0.47860199213027954], [0.580741822719574, 0.478868693113327], [0.5751046538352966, 0.4791192412376404], [0.5691487789154053, 0.4799814522266388], [0.5634252429008484, 0.48143234848976135], [0.5578194260597229, 0.48353448510169983], [0.5532971620559692, 0.48590052127838135], [0.5493440628051758, 0.4871351420879364], [0.5470526218414307, 0.4888252913951874], [0.5447937846183777, 0.49260878562927246], [0.5413793921470642, 0.4965951442718506], [0.5381481647491455, 0.5015303492546082], [0.5348905324935913, 0.5052791833877563], [0.5319788455963135, 0.5075901746749878], [0.5312251448631287, 0.510120153427124], [0.5296584963798523, 0.5145044326782227], [0.526087760925293, 0.5164483785629272], [0.5230210423469543, 0.5138705372810364], [0.5206150412559509, 0.5109348893165588], [0.5192943811416626, 0.5084096193313599], [0.519590437412262, 0.5069289803504944], [0.5203211903572083, 0.5062816143035889], [0.5202469825744629, 0.5069301724433899], [0.5204483270645142, 0.5070918202400208], [0.5201399922370911, 0.5065138339996338], [0.5191977024078369, 0.5066858530044556], [0.5183122158050537, 0.5072633028030396], [0.517903745174408, 0.5083984136581421], [0.5175818204879761, 0.5097978711128235], [0.517353892326355, 0.5108180046081543], [0.5172605514526367, 0.5118484497070312], [0.5168922543525696, 0.5130758285522461], [0.5164244174957275, 0.514348030090332], [0.5159481763839722, 0.515626072883606], [0.5153912901878357, 0.5172449350357056], [0.5151611566543579, 0.5188979506492615], [0.5146950483322144, 0.5208824276924133], [0.5141819715499878, 0.522845447063446], [0.5138291120529175, 0.5242098569869995], [0.5135483741760254, 0.5252399444580078], [0.5132693648338318, 0.52609783411026], [0.512985110282898, 0.5268614888191223], [0.5126352310180664, 0.5275529026985168]]
1168|-1270134787.8485413|[[0.6340205073356628, 0.5066184997558594], [0.6147732734680176, 0.48929592967033386], [0.6070952415466309, 0.4845177233219147], [0.6124812364578247, 0.4876016080379486], [0.6090147495269775, 0.4874436855316162], [0.601525068283081, 0.4837055504322052], [0.5991889238357544, 0.48168855905532837], [0.5975287556648254, 0.4795941710472107], [0.593915581703186, 0.47859033942222595], [0.5900816321372986, 0.4787081778049469], [0.5858035087585449, 0.47858500480651855], [0.5810256004333496, 0.47885608673095703], [0.5753464102745056, 0.4791165590286255], [0.5693584680557251, 0.47993844747543335], [0.5636258125305176, 0.48147052526474], [0.5579656362533569, 0.48364222049713135], [0.55340176820755, 0.4860422909259796], [0.549401581287384, 0.4872850179672241], [0.546955406665802, 0.48905378580093384], [0.5446111559867859, 0.4929236173629761], [0.5409984588623047, 0.4969724416732788], [0.5376640558242798, 0.5021375417709351], [0.534225344657898, 0.5056397914886475], [0.5312455296516418, 0.5078495144844055], [0.5309699773788452, 0.5110280513763428], [0.5288414359092712, 0.5151717662811279], [0.525237500667572, 0.5162593722343445], [0.521980881690979, 0.5137406587600708], [0.5201542973518372, 0.5105981826782227], [0.5191253423690796, 0.5082995891571045], [0.5196155309677124, 0.5070042014122009], [0.5204513669013977, 0.5063208341598511], [0.5204992890357971, 0.5066620707511902], [0.5201850533485413, 0.5064902901649475], [0.5201024413108826, 0.5060761570930481], [0.5193504691123962, 0.506351888179779], [0.5183085203170776, 0.5065035820007324], [0.5178107023239136, 0.5073899626731873], [0.5174322724342346, 0.5087555646896362], [0.5172019600868225, 0.510017454624176], [0.517199695110321, 0.5111691355705261], [0.5170500874519348, 0.5126868486404419], [0.516629159450531, 0.5142199993133545], [0.5161638259887695, 0.5154920816421509], [0.5154942274093628, 0.5170734524726868], [0.5151239633560181, 0.5186986327171326], [0.5146955251693726, 0.5205953121185303], [0.5140368342399597, 0.5224622488021851], [0.5137635469436646, 0.5241464972496033], [0.5133587718009949, 0.5254175066947937], [0.5129462480545044, 0.5262552499771118], [0.5126643776893616, 0.5270119905471802], [0.5123201608657837, 0.5277144908905029]]
1460|-1271656712.2133753|[[0.6334316730499268, 0.5063548684120178], [0.6146688461303711, 0.48884567618370056], [0.6072261333465576, 0.4845640957355499], [0.6124157905578613, 0.48758989572525024], [0.6089874505996704, 0.4873947501182556], [0.6016018986701965, 0.48379287123680115], [0.5990927815437317, 0.4818345308303833], [0.5974857807159424, 0.47965607047080994], [0.5939974188804626, 0.4785557985305786], [0.5901966094970703, 0.47887349128723145], [0.5859012007713318, 0.4786989688873291], [0.5811467170715332, 0.4788421392440796], [0.5754899978637695, 0.4791424870491028], [0.5695780515670776, 0.4798077344894409], [0.5638093948364258, 0.4812176525592804], [0.5580151081085205, 0.4833599925041199], [0.5534470081329346, 0.48577773571014404], [0.5495314002037048, 0.4869815707206726], [0.5470211505889893, 0.48868072032928467], [0.5447237491607666, 0.492569237947464], [0.5412502288818359, 0.49663275480270386], [0.537676215171814, 0.5016790628433228], [0.5343264937400818, 0.5050942301750183], [0.5312209129333496, 0.5072667598724365], [0.5309897065162659, 0.510679304599762], [0.5287866592407227, 0.5147939324378967], [0.5250291228294373, 0.5157057642936707], [0.5219929814338684, 0.5132122039794922], [0.5203891396522522, 0.5101436376571655], [0.5195786356925964, 0.5077906847000122], [0.519897997379303, 0.50657057762146], [0.5206906199455261, 0.5059257745742798], [0.5206287503242493, 0.5061753988265991], [0.5202372074127197, 0.5060369968414307], [0.520121693611145, 0.5055099129676819], [0.519281804561615, 0.5057505369186401], [0.5182758569717407, 0.5059567093849182], [0.517917275428772, 0.5066428780555725], [0.5175308585166931, 0.5081232786178589], [0.5172622203826904, 0.5093884468078613], [0.5173119306564331, 0.5105615258216858], [0.5174127221107483, 0.512225329875946], [0.5170878171920776, 0.5137035250663757], [0.516553521156311, 0.5152183771133423], [0.5158697962760925, 0.5168153643608093], [0.5154685974121094, 0.5184414386749268], [0.5150548219680786, 0.5202217698097229], [0.5143443942070007, 0.5221400856971741], [0.5140112042427063, 0.5239346623420715], [0.5136327147483826, 0.5253214836120605], [0.5132250189781189, 0.526213526725769], [0.5128628015518188, 0.5269340872764587], [0.5125041007995605, 0.5276293158531189]]
1752|-1269797999.300477|[[0.6332650780677795, 0.5063162446022034], [0.6146968007087708, 0.48839330673217773], [0.6076620817184448, 0.48468440771102905], [0.6123470664024353, 0.48764097690582275], [0.6087318658828735, 0.48710721731185913], [0.6013528108596802, 0.4834956228733063], [0.5993568897247314, 0.4815303087234497], [0.5978281497955322, 0.4793449938297272], [0.5942217111587524, 0.4785597622394562], [0.5904481410980225, 0.47881630063056946], [0.5861969590187073, 0.4786606729030609], [0.5812777280807495, 0.4788304567337036], [0.5754810571670532, 0.4790397882461548], [0.5692815780639648, 0.4799177348613739], [0.5632602572441101, 0.48119473457336426], [0.5576441287994385, 0.48325517773628235], [0.5531919002532959, 0.48577386140823364], [0.5491421222686768, 0.4870668649673462], [0.5470056533813477, 0.48888012766838074], [0.5445382595062256, 0.49295976758003235], [0.5407773852348328, 0.49702227115631104], [0.5377317070960999, 0.5022446513175964], [0.5343654751777649, 0.5060966610908508], [0.5314901471138, 0.5083760023117065], [0.5311386585235596, 0.5113345980644226], [0.5291554927825928, 0.515707790851593], [0.5254670977592468, 0.5172492265701294], [0.5221174955368042, 0.5147261619567871], [0.5198139548301697, 0.5115684270858765], [0.5185920596122742, 0.5092207193374634], [0.519269585609436, 0.50788414478302], [0.5200983881950378, 0.5071601867675781], [0.5202271342277527, 0.5074353814125061], [0.5202306509017944, 0.5074273943901062], [0.5198375582695007, 0.506784200668335], [0.5189470052719116, 0.5070940852165222], [0.5179343819618225, 0.5073686838150024], [0.5174140930175781, 0.5082613825798035], [0.5170571208000183, 0.5096027851104736], [0.5168875455856323, 0.510672390460968], [0.5170016884803772, 0.5120030641555786], [0.5168191194534302, 0.5133342146873474], [0.5163057446479797, 0.5148889422416687], [0.5157844424247742, 0.5161319375038147], [0.5152358412742615, 0.5177575349807739], [0.5149019956588745, 0.5193597078323364], [0.5144205093383789, 0.5214568376541138], [0.5139033794403076, 0.5232473611831665], [0.5136492252349854, 0.5248903036117554], [0.5132176280021667, 0.5261063575744629], [0.5128375887870789, 0.5269835591316223], [0.5125163793563843, 0.5277736783027649], [0.5121203064918518, 0.5284826159477234]]
2044|-1268015326.147334|[[0.6337202787399292, 0.5063524842262268], [0.6146196722984314, 0.48882412910461426], [0.607335090637207, 0.4846099615097046], [0.6122746467590332, 0.48763877153396606], [0.6086077690124512, 0.4871343970298767], [0.6012932658195496, 0.48337289690971375], [0.5994121432304382, 0.4813726246356964], [0.5977381467819214, 0.47928908467292786], [0.5941072106361389, 0.47864699363708496], [0.5902737379074097, 0.478610098361969], [0.5861068964004517, 0.47852426767349243], [0.5811808109283447, 0.4788225293159485], [0.5753626227378845, 0.47901344299316406], [0.5691785216331482, 0.4800228476524353], [0.563212513923645, 0.4814157485961914], [0.5577881932258606, 0.48346829414367676], [0.5532642602920532, 0.4859105944633484], [0.5491536855697632, 0.487342894077301], [0.5469844341278076, 0.48914840817451477], [0.5446122288703918, 0.4930688142776489], [0.5407102108001709, 0.4971875250339508], [0.5379117727279663, 0.5024213194847107], [0.5346377491950989, 0.5066344738006592], [0.531840443611145, 0.5089852809906006], [0.5313072800636292, 0.5114951133728027], [0.5296849012374878, 0.5159459710121155], [0.5261430144309998, 0.5180118083953857], [0.5229179859161377, 0.5155744552612305], [0.5200827717781067, 0.5129889249801636], [0.5186793208122253, 0.5101395845413208], [0.5190036296844482, 0.5087341666221619], [0.5199392437934875, 0.5079308152198792], [0.5200719833374023, 0.5084256529808044], [0.5203583240509033, 0.5084972381591797], [0.5196292400360107, 0.5077447295188904], [0.5185918807983398, 0.5080186128616333], [0.5177452564239502, 0.5085287690162659], [0.5173283219337463, 0.5094544291496277], [0.5170254707336426, 0.51071697473526], [0.516742467880249, 0.5115235447883606], [0.5167104005813599, 0.5128121972084045], [0.5164766311645508, 0.5140616297721863], [0.5158939957618713, 0.5153602957725525], [0.5154187083244324, 0.5165629386901855], [0.514876127243042, 0.518069326877594], [0.514603316783905, 0.5198659300804138], [0.5140963792800903, 0.5218437314033508], [0.5136333703994751, 0.5235529541969299], [0.513305127620697, 0.5250489115715027], [0.512970507144928, 0.5261759757995605], [0.5125867128372192, 0.5270776152610779], [0.5122241377830505, 0.5279003381729126], [0.5118324756622314, 0.5286936163902283]]
2336|-1264322353.854334|[[0.6331243515014648, 0.50632643699646], [0.6143584847450256, 0.4881426692008972], [0.6081693172454834, 0.4848252534866333], [0.6124665141105652, 0.4878298342227936], [0.6083172559738159, 0.4868846535682678], [0.6014930009841919, 0.4833409786224365], [0.5999876260757446, 0.48104166984558105], [0.5981409549713135, 0.4790409207344055], [0.5945595502853394, 0.4785982370376587], [0.5907621383666992, 0.4785020053386688], [0.586740255355835, 0.4784165024757385], [0.5814530849456787, 0.47868582606315613], [0.5753661394119263, 0.4791243374347687], [0.5690760612487793, 0.48013627529144287], [0.5629511475563049, 0.4814426600933075], [0.5576618909835815, 0.4836568534374237], [0.55315101146698, 0.48590442538261414], [0.548901379108429, 0.48759859800338745], [0.5469352602958679, 0.48958534002304077], [0.5447133183479309, 0.493516743183136], [0.5403968095779419, 0.4980868697166443], [0.5377686619758606, 0.5031408667564392], [0.5347732305526733, 0.5075919032096863], [0.5320034027099609, 0.5100473165512085], [0.5311635136604309, 0.5125709176063538], [0.5296424627304077, 0.5162158608436584], [0.5269185304641724, 0.518688976764679], [0.5237788558006287, 0.5166214108467102], [0.5206537842750549, 0.5142461061477661], [0.5185021162033081, 0.5128037333488464], [0.5187076926231384, 0.5111509561538696], [0.5195372104644775, 0.5101931691169739], [0.5198702216148376, 0.5102956295013428], [0.5198881030082703, 0.5099771022796631], [0.5192978382110596, 0.5099369883537292], [0.5179852247238159, 0.5103119611740112], [0.5173305869102478, 0.5111711025238037], [0.5165320038795471, 0.5119776725769043], [0.5165246725082397, 0.5128409266471863], [0.5162168145179749, 0.5137262344360352], [0.5158270001411438, 0.5147466659545898], [0.5155084729194641, 0.5157928466796875], [0.5150962471961975, 0.5167486071586609], [0.5145593285560608, 0.5180113911628723], [0.5141359567642212, 0.5196177363395691], [0.5138970017433167, 0.521545946598053], [0.513363778591156, 0.5231310725212097], [0.5131482481956482, 0.5248326659202576], [0.512835681438446, 0.5261911153793335], [0.5124819278717041, 0.5272145867347717], [0.5120711326599121, 0.5281851291656494], [0.5116919279098511, 0.5290943384170532], [0.5112799406051636, 0.5299621820449829]]
2628|-1263234166.3598409|[[0.6334948539733887, 0.5065260529518127], [0.6144932508468628, 0.48850324749946594], [0.6080282926559448, 0.48479127883911133], [0.6126150488853455, 0.48787808418273926], [0.60849529504776, 0.4870415925979614], [0.6016392707824707, 0.4833803176879883], [0.600089430809021, 0.4810852110385895], [0.598188042640686, 0.47909221053123474], [0.5946263074874878, 0.47858962416648865], [0.5908306241035461, 0.47847265005111694], [0.5868356227874756, 0.47841814160346985], [0.5815579891204834, 0.4786989986896515], [0.5754910111427307, 0.4791278839111328], [0.5691952705383301, 0.4801562428474426], [0.5631114840507507, 0.48158344626426697], [0.5578587651252747, 0.48381415009498596], [0.5533029437065125, 0.4861134886741638], [0.5490075349807739, 0.4877874553203583], [0.5469303727149963, 0.48980608582496643], [0.5444836020469666, 0.49369436502456665], [0.5402294397354126, 0.49825623631477356], [0.5377049446105957, 0.503473699092865], [0.5344720482826233, 0.5079386830329895], [0.5317572951316833, 0.51036137342453], [0.5310668349266052, 0.5129417181015015], [0.5294150114059448, 0.5167605876922607], [0.5263782739639282, 0.5188957452774048], [0.5232441425323486, 0.5165457725524902], [0.5200783610343933, 0.514456570148468], [0.5184701681137085, 0.5122030973434448], [0.5187444686889648, 0.510750412940979], [0.5197359919548035, 0.5098564028739929], [0.5199719667434692, 0.510037899017334], [0.519995927810669, 0.5097108483314514], [0.5193238258361816, 0.5093988180160522], [0.5180968046188354, 0.5096770524978638], [0.517362654209137, 0.5103622674942017], [0.516681969165802, 0.5112552046775818], [0.5164809823036194, 0.5121356844902039], [0.5162544846534729, 0.5129848718643188], [0.5160261988639832, 0.5141704678535461], [0.515672504901886, 0.5153666734695435], [0.515157163143158, 0.5164188146591187], [0.514680802822113, 0.5176436305046082], [0.5142055153846741, 0.5190925002098083], [0.5139616131782532, 0.5211695432662964], [0.5134417414665222, 0.5228447914123535], [0.5130159258842468, 0.5244282484054565], [0.5127519369125366, 0.5259181261062622], [0.5123713612556458, 0.5270296335220337], [0.5119854807853699, 0.5279999375343323], [0.5116589665412903, 0.5288887023925781], [0.511231541633606, 0.5297463536262512]]
2920|-1263224144.9742134|[[0.6333518624305725, 0.5064773559570312], [0.6143957376480103, 0.4884556829929352], [0.6080424785614014, 0.48479458689689636], [0.6126493811607361, 0.487912654876709], [0.6084892153739929, 0.4870877265930176], [0.6016644835472107, 0.48339396715164185], [0.6000924110412598, 0.48109152913093567], [0.5981348752975464, 0.4791085124015808], [0.5945813059806824, 0.4785844385623932], [0.5907818675041199, 0.4784572124481201], [0.5867878794670105, 0.4784071445465088], [0.5815137624740601, 0.4787164628505707], [0.5754565000534058, 0.4791467487812042], [0.5691630840301514, 0.48020681738853455], [0.5631412863731384, 0.48173603415489197], [0.5579060316085815, 0.48397448658943176], [0.5533441305160522, 0.48632776737213135], [0.5490258932113647, 0.487982839345932], [0.5469138026237488, 0.4900728464126587], [0.5441882610321045, 0.4939659833908081], [0.5400124192237854, 0.4985663890838623], [0.5375600457191467, 0.5039589405059814], [0.534134030342102, 0.5083567500114441], [0.5315386652946472, 0.5107082724571228], [0.5309929847717285, 0.5134913921356201], [0.5290873050689697, 0.5174508690834045], [0.5257242321968079, 0.5191653966903687], [0.5226073265075684, 0.5166617035865784], [0.5195465087890625, 0.5144588947296143], [0.5184171795845032, 0.5116903781890869], [0.5188578367233276, 0.5103968977928162], [0.5198061466217041, 0.5095260143280029], [0.5198538899421692, 0.5096349120140076], [0.5201009511947632, 0.5094587802886963], [0.5191750526428223, 0.5088881254196167], [0.5181722640991211, 0.509082555770874], [0.5173478126525879, 0.5094900727272034], [0.5168229341506958, 0.5103475451469421], [0.516422688961029, 0.5114514827728271], [0.5162471532821655, 0.5122116804122925], [0.5162656307220459, 0.5135489702224731], [0.5160107612609863, 0.5147689580917358], [0.5153061151504517, 0.5161567330360413], [0.5148441195487976, 0.5173510909080505], [0.514355480670929, 0.5187415480613708], [0.5140454769134521, 0.5206396579742432], [0.5135195851325989, 0.5225263237953186], [0.5129724144935608, 0.5240122675895691], [0.5126888751983643, 0.5256389379501343], [0.512222170829773, 0.5269098877906799], [0.5118594765663147, 0.5278773903846741], [0.511538028717041, 0.5287771821022034], [0.5111680030822754, 0.5295879244804382]]
