292|-1097954940.0940223|[[0.648063063621521, 0.47977983951568604], [0.6416288614273071, 0.4991320073604584], [0.6423781514167786, 0.4977758526802063], [0.6405807733535767, 0.4902942180633545], [0.6361942887306213, 0.4855128228664398], [0.6326531171798706, 0.4831066429615021], [0.6293419003486633, 0.4841636121273041], [0.6257920265197754, 0.4872809052467346], [0.6221761107444763, 0.48953279852867126], [0.6166128516197205, 0.49102386832237244], [0.6105059385299683, 0.4933052659034729], [0.604850709438324, 0.4951152205467224], [0.5992918014526367, 0.49657005071640015], [0.5930987596511841, 0.4976843297481537], [0.5864033699035645, 0.499279260635376], [0.5791987776756287, 0.5010260343551636], [0.5717206001281738, 0.5035037994384766], [0.5646137595176697, 0.5063641667366028], [0.5589045286178589, 0.5078527331352234], [0.5533242225646973, 0.5089255571365356], [0.5469402074813843, 0.5076693892478943], [0.5417628884315491, 0.505290150642395], [0.5369504690170288, 0.5023517608642578], [0.533028781414032, 0.4954865276813507], [0.5322568416595459, 0.4893695116043091], [0.5322633981704712, 0.4853258430957794], [0.5328702926635742, 0.4825788736343384], [0.5328531265258789, 0.48102977871894836], [0.5334846377372742, 0.4790099859237671], [0.5339279770851135, 0.47724032402038574], [0.5343207120895386, 0.47569262981414795], [0.5349641442298889, 0.47408050298690796], [0.5354987382888794, 0.47245681285858154], [0.536774218082428, 0.4710181951522827], [0.538625180721283, 0.47007229924201965], [0.5406894683837891, 0.4696025848388672], [0.5419178605079651, 0.4683453440666199], [0.5425127148628235, 0.4672912657260895], [0.5433155298233032, 0.4669276773929596], [0.5440603494644165, 0.46690770983695984], [0.5449376106262207, 0.46701133251190186], [0.5456646084785461, 0.4677313268184662], [0.5464964509010315, 0.4684106111526489], [0.5472869277000427, 0.4686567485332489], [0.5475027561187744, 0.4687477946281433], [0.5472878813743591, 0.46844908595085144], [0.5468175411224365, 0.46863365173339844], [0.5464375615119934, 0.46882498264312744], [0.5458266139030457, 0.4693034887313843], [0.5454188585281372, 0.4695409834384918], [0.5450904965400696, 0.469465434551239], [0.5447299480438232, 0.4692855775356293], [0.5445790886878967, 0.4691839814186096]]
584|-1063917143.4146053|[[0.6533606052398682, 0.4761074483394623], [0.6452693939208984, 0.4987618029117584], [0.6446455121040344, 0.49842607975006104], [0.6455541253089905, 0.4913380444049835], [0.6403810977935791, 0.4858056306838989], [0.6367233991622925, 0.4825981557369232], [0.6336174011230469, 0.4846530854701996], [0.630696177482605, 0.48764005303382874], [0.627332329750061, 0.49042460322380066], [0.6227751970291138, 0.49166154861450195], [0.6167556047439575, 0.4942293167114258], [0.6108759641647339, 0.4961749315261841], [0.604953944683075, 0.49782654643058777], [0.598690390586853, 0.4991217255592346], [0.5918145179748535, 0.5006354451179504], [0.5843483805656433, 0.5025955438613892], [0.5764209032058716, 0.5046367645263672], [0.5684452056884766, 0.5073546767234802], [0.5621047616004944, 0.5088502764701843], [0.5559211373329163, 0.5101194977760315], [0.5490829944610596, 0.5097962617874146], [0.5423109531402588, 0.508418619632721], [0.5368335843086243, 0.5055820941925049], [0.531593382358551, 0.49956944584846497], [0.5310774445533752, 0.49174439907073975], [0.5316348075866699, 0.4858963191509247], [0.5320374965667725, 0.4834577739238739], [0.5321184396743774, 0.48203495144844055], [0.5329241752624512, 0.48095518350601196], [0.5333333611488342, 0.4792650640010834], [0.5342617034912109, 0.47797971963882446], [0.5356770753860474, 0.47639378905296326], [0.5361484885215759, 0.4747318625450134], [0.5371460914611816, 0.4731766879558563], [0.5392069816589355, 0.4718154966831207], [0.5412734150886536, 0.4707642197608948], [0.5430316925048828, 0.4700508713722229], [0.5437236428260803, 0.4686453342437744], [0.5443003177642822, 0.46809956431388855], [0.5451357960700989, 0.4680178761482239], [0.5459202527999878, 0.46811115741729736], [0.5467715263366699, 0.4685036540031433], [0.5475194454193115, 0.46908673644065857], [0.5479705929756165, 0.4694615304470062], [0.547881007194519, 0.46933579444885254], [0.5475672483444214, 0.469257652759552], [0.5471587181091309, 0.46909433603286743], [0.5464667081832886, 0.46901020407676697], [0.5458783507347107, 0.46923983097076416], [0.5454426407814026, 0.4694591760635376], [0.5449522733688354, 0.46942296624183655], [0.5445258021354675, 0.4691522717475891], [0.544343113899231, 0.46890026330947876]]
876|-1067762834.9387889|[[0.6545124053955078, 0.47451332211494446], [0.6448403000831604, 0.4995006024837494], [0.6420011520385742, 0.5003520250320435], [0.6445428133010864, 0.49463751912117004], [0.6397952437400818, 0.48897257447242737], [0.6359577775001526, 0.4847989082336426], [0.6330004930496216, 0.48531273007392883], [0.629960298538208, 0.48768264055252075], [0.6260725855827332, 0.4903108775615692], [0.6226742267608643, 0.49267977476119995], [0.6172537207603455, 0.49427327513694763], [0.6107509732246399, 0.4965282678604126], [0.6045706272125244, 0.49854421615600586], [0.5982560515403748, 0.4998844265937805], [0.5915992856025696, 0.5012325048446655], [0.5840113162994385, 0.5028446912765503], [0.5762752294540405, 0.5044477581977844], [0.568049430847168, 0.5065678954124451], [0.5613273978233337, 0.5083600878715515], [0.5548749566078186, 0.5098515748977661], [0.5464082360267639, 0.509498655796051], [0.5383546948432922, 0.5074623227119446], [0.5314074754714966, 0.5031031966209412], [0.5303337574005127, 0.4961082637310028], [0.5310574769973755, 0.48796337842941284], [0.5306451916694641, 0.4853392541408539], [0.5306059718132019, 0.4834968149662018], [0.5313661694526672, 0.4824267029762268], [0.5330501198768616, 0.4815240800380707], [0.5352285504341125, 0.47949647903442383], [0.5360199809074402, 0.47783955931663513], [0.5368401408195496, 0.4760693311691284], [0.5366228222846985, 0.47415095567703247], [0.5366824865341187, 0.47207629680633545], [0.5379459261894226, 0.46975892782211304], [0.5395499467849731, 0.4678862392902374], [0.541621744632721, 0.46715375781059265], [0.5437703728675842, 0.4666081666946411], [0.545134961605072, 0.46562930941581726], [0.5464202165603638, 0.4645211398601532], [0.5469053387641907, 0.46444645524024963], [0.546556293964386, 0.4645192623138428], [0.5466983914375305, 0.4643840193748474], [0.5481153726577759, 0.4644296169281006], [0.5484023094177246, 0.4648840129375458], [0.5487979650497437, 0.4651619493961334], [0.5494413375854492, 0.46519526839256287], [0.5491956472396851, 0.4653978943824768], [0.5488549470901489, 0.4654077887535095], [0.5482208728790283, 0.4656810462474823], [0.5475649833679199, 0.46628907322883606], [0.5470496416091919, 0.4666164517402649], [0.5464830994606018, 0.46653681993484497]]
1168|-1798258843.9989045|[[0.5105687975883484, 0.5476768612861633], [0.5134885311126709, 0.529959499835968], [0.5140652060508728, 0.5178390741348267], [0.519681990146637, 0.5077152252197266], [0.5237780809402466, 0.5014134645462036], [0.5226965546607971, 0.49685806035995483], [0.5185645222663879, 0.49509429931640625], [0.5160913467407227, 0.493154913187027], [0.5144745707511902, 0.49217489361763], [0.5131697654724121, 0.49098169803619385], [0.5120872855186462, 0.4903772473335266], [0.5118211507797241, 0.49093762040138245], [0.5119745135307312, 0.4919617474079132], [0.5119354724884033, 0.4933677315711975], [0.5112330317497253, 0.4948144853115082], [0.5100120902061462, 0.4964006543159485], [0.5084723234176636, 0.49815836548805237], [0.50613933801651, 0.500006914138794], [0.5017716884613037, 0.5032374262809753], [0.49747493863105774, 0.5069865584373474], [0.4910599887371063, 0.5119085311889648], [0.4849124848842621, 0.5146976709365845], [0.4835364818572998, 0.5177141427993774], [0.4842486083507538, 0.5175696611404419], [0.48648446798324585, 0.5178468823432922], [0.49213457107543945, 0.523172914981842], [0.49586808681488037, 0.5246279239654541], [0.499185174703598, 0.5251913070678711], [0.5019534230232239, 0.522866427898407], [0.5027479529380798, 0.5197662711143494], [0.5033776164054871, 0.5171797275543213], [0.5034962892532349, 0.5143694281578064], [0.5022062063217163, 0.5114468932151794], [0.5013002157211304, 0.5081682205200195], [0.4986345171928406, 0.5059844851493835], [0.49716508388519287, 0.5035815238952637], [0.49614015221595764, 0.5001039505004883], [0.49529197812080383, 0.4972292184829712], [0.49534082412719727, 0.49386194348335266], [0.49533528089523315, 0.49122941493988037], [0.49642258882522583, 0.48796600103378296], [0.4983351230621338, 0.4859294295310974], [0.5020479559898376, 0.4845016300678253], [0.5060138702392578, 0.48390883207321167], [0.5094467401504517, 0.48370546102523804], [0.5114160776138306, 0.4829709827899933], [0.5128880739212036, 0.4836507737636566], [0.5146310925483704, 0.4853622317314148], [0.5156139135360718, 0.487850546836853], [0.515035092830658, 0.49010640382766724], [0.5150583386421204, 0.49301111698150635], [0.5144460201263428, 0.49663665890693665], [0.5152522325515747, 0.5000627636909485]]
1460|-2083442145.3234994|[[0.6303754448890686, 0.5515777468681335], [0.5993051528930664, 0.5156177282333374], [0.5771207809448242, 0.469947874546051], [0.572884738445282, 0.4329357147216797], [0.5689442753791809, 0.4105972647666931], [0.5637677311897278, 0.3953573703765869], [0.5611146688461304, 0.38527196645736694], [0.5579476356506348, 0.378850519657135], [0.555313766002655, 0.37629568576812744], [0.5518444180488586, 0.3756522536277771], [0.5478720664978027, 0.3769381642341614], [0.5435510277748108, 0.3805308938026428], [0.5389903783798218, 0.3858557641506195], [0.5338461399078369, 0.39372560381889343], [0.5270333290100098, 0.40447935461997986], [0.5184330940246582, 0.4192478656768799], [0.5059402585029602, 0.4351898431777954], [0.4928489625453949, 0.45196861028671265], [0.47818630933761597, 0.4690220355987549], [0.4611666798591614, 0.48516714572906494], [0.4499157667160034, 0.4999588131904602], [0.4439193606376648, 0.5090327858924866], [0.441352516412735, 0.520918607711792], [0.4445553421974182, 0.5301936864852905], [0.4487746059894562, 0.5348297357559204], [0.45452427864074707, 0.538792073726654], [0.4594140648841858, 0.5396289825439453], [0.4643074870109558, 0.5379832983016968], [0.4699224531650543, 0.5339694023132324], [0.4746169447898865, 0.5288783311843872], [0.47878357768058777, 0.5226112008094788], [0.481242299079895, 0.5146608948707581], [0.4851928949356079, 0.5044492483139038], [0.4901747405529022, 0.49310100078582764], [0.496968150138855, 0.4828829765319824], [0.5032155513763428, 0.47320207953453064], [0.5096670389175415, 0.46302348375320435], [0.5165727138519287, 0.4524620771408081], [0.5239416360855103, 0.4417579174041748], [0.5304509997367859, 0.4309081733226776], [0.5362907648086548, 0.42006027698516846], [0.5429146885871887, 0.40879231691360474], [0.5514408946037292, 0.39835894107818604], [0.5603556036949158, 0.39093291759490967], [0.5697728991508484, 0.3851431906223297], [0.5789521336555481, 0.38095417618751526], [0.5866288542747498, 0.3773033618927002], [0.5944623351097107, 0.37347978353500366], [0.602486252784729, 0.3701176047325134], [0.6104519367218018, 0.3666243553161621], [0.6181899905204773, 0.3639150857925415], [0.6256067752838135, 0.36242324113845825], [0.6332734823226929, 0.3611416816711426]]
1752|-2749726667.3218517|[[0.5831754207611084, 0.4645475745201111], [0.5478475093841553, 0.4606679677963257], [0.5266923904418945, 0.438984751701355], [0.5195209980010986, 0.4113641083240509], [0.5178824663162231, 0.3961086869239807], [0.5177973508834839, 0.3832141160964966], [0.5186216831207275, 0.3729984760284424], [0.5194056034088135, 0.36632847785949707], [0.5205559134483337, 0.3615538775920868], [0.5221999883651733, 0.35909968614578247], [0.5236621499061584, 0.35863733291625977], [0.5255222320556641, 0.3600282669067383], [0.5268113613128662, 0.36341506242752075], [0.5264407992362976, 0.36834943294525146], [0.5245473980903625, 0.3756098747253418], [0.5200828313827515, 0.38585421442985535], [0.5126811861991882, 0.3983561396598816], [0.5030845403671265, 0.4142489731311798], [0.4885958433151245, 0.43175989389419556], [0.4727167785167694, 0.4486135244369507], [0.4678378105163574, 0.45679447054862976], [0.46957480907440186, 0.4662300944328308], [0.47628849744796753, 0.4678570032119751], [0.48844870924949646, 0.4649324119091034], [0.5022167563438416, 0.45857107639312744], [0.5161327719688416, 0.44773194193840027], [0.5289604067802429, 0.43529754877090454], [0.5422099232673645, 0.42185547947883606], [0.5555685758590698, 0.4096650183200836], [0.5656036138534546, 0.39768749475479126], [0.5786658525466919, 0.38550490140914917], [0.5911739468574524, 0.3741832375526428], [0.6000333428382874, 0.36023902893066406], [0.6077836751937866, 0.34797805547714233], [0.6161093711853027, 0.33392202854156494], [0.6240921020507812, 0.3170003890991211], [0.6322612762451172, 0.3020172715187073], [0.6432807445526123, 0.28841274976730347], [0.6536604166030884, 0.27547043561935425], [0.6631301641464233, 0.26279470324516296], [0.6728972792625427, 0.250979483127594], [0.6804066300392151, 0.24201592803001404], [0.6850735545158386, 0.23509806394577026], [0.690394937992096, 0.23067453503608704], [0.6968755125999451, 0.22782430052757263], [0.7044840455055237, 0.22565966844558716], [0.7097233533859253, 0.22442105412483215], [0.7129060626029968, 0.22385427355766296], [0.7169952392578125, 0.22340920567512512], [0.7211936712265015, 0.22400274872779846], [0.7258509397506714, 0.22456416487693787], [0.7304644584655762, 0.22539356350898743], [0.7351871132850647, 0.22669532895088196]]
2044|-3124497135.2746663|[[0.5513024926185608, 0.5075986981391907], [0.5079725980758667, 0.5013899803161621], [0.4756326377391815, 0.48670634627342224], [0.4503774344921112, 0.46860551834106445], [0.43774011731147766, 0.4550144672393799], [0.4323594570159912, 0.44628477096557617], [0.43049511313438416, 0.4401107430458069], [0.4306708574295044, 0.43565285205841064], [0.4321647882461548, 0.432314932346344], [0.43442484736442566, 0.4298909902572632], [0.4372500479221344, 0.42824673652648926], [0.4407840967178345, 0.42729634046554565], [0.4449147880077362, 0.426705926656723], [0.4494456648826599, 0.4268457889556885], [0.45487546920776367, 0.42834094166755676], [0.4606984257698059, 0.4294933080673218], [0.4652141034603119, 0.4290490746498108], [0.46810197830200195, 0.4288559556007385], [0.470586359500885, 0.42625361680984497], [0.479381263256073, 0.4234815239906311], [0.4854145348072052, 0.41957247257232666], [0.49018239974975586, 0.41943222284317017], [0.49961185455322266, 0.42254728078842163], [0.5120396018028259, 0.42676931619644165], [0.524128794670105, 0.43136224150657654], [0.5351254940032959, 0.4298859238624573], [0.5466493964195251, 0.4250827431678772], [0.5553874969482422, 0.4168279767036438], [0.5614956617355347, 0.4070257246494293], [0.5682392716407776, 0.3960013687610626], [0.5738526582717896, 0.3852923512458801], [0.5800137519836426, 0.37054431438446045], [0.5837972164154053, 0.35527855157852173], [0.5845250487327576, 0.33877402544021606], [0.5865667462348938, 0.32244953513145447], [0.5926880836486816, 0.3057091236114502], [0.5986855626106262, 0.28886663913726807], [0.6061545610427856, 0.2739954888820648], [0.6150796413421631, 0.26077350974082947], [0.6228577494621277, 0.2496928870677948], [0.6323099732398987, 0.23992887139320374], [0.6398791670799255, 0.23169100284576416], [0.6464909911155701, 0.2252502739429474], [0.6518797278404236, 0.2214502990245819], [0.6565329432487488, 0.21967744827270508], [0.6608873605728149, 0.22122403979301453], [0.6659876704216003, 0.22446349263191223], [0.6698359251022339, 0.22810575366020203], [0.6723278760910034, 0.23318877816200256], [0.674716591835022, 0.23999381065368652], [0.6764955520629883, 0.24668407440185547], [0.6777751445770264, 0.253262996673584], [0.679334282875061, 0.26056814193725586]]
2336|-2923493263.404831|[[0.5829340815544128, 0.5354503393173218], [0.539962887763977, 0.5146154165267944], [0.5078385472297668, 0.48786798119544983], [0.4788835346698761, 0.45849210023880005], [0.45793190598487854, 0.4383877217769623], [0.4457473158836365, 0.4266399145126343], [0.4402126669883728, 0.4194592535495758], [0.43868395686149597, 0.4151816666126251], [0.43937331438064575, 0.4125767946243286], [0.44145384430885315, 0.4107723534107208], [0.4447215795516968, 0.4092823565006256], [0.44912344217300415, 0.4081147015094757], [0.45419079065322876, 0.4072718322277069], [0.45979925990104675, 0.4068928360939026], [0.46684548258781433, 0.406790167093277], [0.4755999743938446, 0.40719670057296753], [0.48368141055107117, 0.4071291387081146], [0.49013760685920715, 0.40450519323349], [0.5004459023475647, 0.40211576223373413], [0.5160098671913147, 0.39997684955596924], [0.5241438746452332, 0.40369540452957153], [0.5335879325866699, 0.41414910554885864], [0.5449617505073547, 0.42944756150245667], [0.5534350275993347, 0.4388402998447418], [0.5611732602119446, 0.44406911730766296], [0.5654680728912354, 0.44329169392585754], [0.5687404274940491, 0.43906369805336], [0.5729493498802185, 0.43291962146759033], [0.5764940977096558, 0.42475420236587524], [0.5787608027458191, 0.4153403639793396], [0.5780330896377563, 0.4008113741874695], [0.5779900550842285, 0.38421833515167236], [0.5760175585746765, 0.36658161878585815], [0.5748899579048157, 0.34739404916763306], [0.5763800144195557, 0.33045732975006104], [0.5820136666297913, 0.31669312715530396], [0.5896779894828796, 0.3051024377346039], [0.5999376773834229, 0.29551970958709717], [0.6063256859779358, 0.2855151891708374], [0.6115853786468506, 0.277040034532547], [0.6159098148345947, 0.26973068714141846], [0.6194953918457031, 0.2664003372192383], [0.6237053871154785, 0.2647784352302551], [0.6254013180732727, 0.2683406472206116], [0.6290469169616699, 0.27523931860923767], [0.6338319778442383, 0.2829480469226837], [0.6369792222976685, 0.29098576307296753], [0.6388280391693115, 0.29956117272377014], [0.6401810050010681, 0.3071335554122925], [0.6420214176177979, 0.315430223941803], [0.644065260887146, 0.32411909103393555], [0.6460322737693787, 0.33327382802963257], [0.6481319665908813, 0.3426210284233093]]
2628|-2655597283.717954|[[0.48017212748527527, 0.6319236755371094], [0.47390392422676086, 0.6021784543991089], [0.46346691250801086, 0.5788812041282654], [0.4497968554496765, 0.5549626350402832], [0.4345247745513916, 0.5336471199989319], [0.42270487546920776, 0.5171216130256653], [0.41625767946243286, 0.5064141750335693], [0.41396623849868774, 0.49939337372779846], [0.413846492767334, 0.49376800656318665], [0.415590763092041, 0.48891010880470276], [0.41847509145736694, 0.4845786988735199], [0.42206767201423645, 0.4805864095687866], [0.4262833297252655, 0.4767548143863678], [0.4316079020500183, 0.47337254881858826], [0.438015341758728, 0.4705047309398651], [0.445297509431839, 0.4681021571159363], [0.4545901417732239, 0.46651074290275574], [0.4652366042137146, 0.4639770984649658], [0.47436684370040894, 0.45928841829299927], [0.4863535165786743, 0.45341795682907104], [0.5008629560470581, 0.44608306884765625], [0.5241740345954895, 0.44230520725250244], [0.5398371815681458, 0.44112932682037354], [0.5492591261863708, 0.44744715094566345], [0.5587427616119385, 0.4572077691555023], [0.5648776292800903, 0.46705228090286255], [0.5654318928718567, 0.4675905108451843], [0.562650740146637, 0.4630802571773529], [0.5593304634094238, 0.45413100719451904], [0.5538967847824097, 0.4446943998336792], [0.5479744076728821, 0.4340369701385498], [0.5450195074081421, 0.4222220182418823], [0.5414553880691528, 0.40902262926101685], [0.5356594324111938, 0.3935226798057556], [0.5316227078437805, 0.37879759073257446], [0.5298140048980713, 0.3640350103378296], [0.5300551652908325, 0.35164207220077515], [0.5322807431221008, 0.34179484844207764], [0.5384947657585144, 0.333051860332489], [0.5455625057220459, 0.32501834630966187], [0.550307035446167, 0.31901848316192627], [0.5536670088768005, 0.3160843551158905], [0.5527666807174683, 0.3188544511795044], [0.5512884259223938, 0.325199693441391], [0.5517109036445618, 0.3333541750907898], [0.5514279007911682, 0.3458128869533539], [0.5521655082702637, 0.3617505431175232], [0.5524979829788208, 0.37705886363983154], [0.5534631609916687, 0.391276478767395], [0.5560194849967957, 0.40592485666275024], [0.5570045709609985, 0.41876649856567383], [0.5560283660888672, 0.4312775731086731], [0.5534347891807556, 0.4432757794857025]]
2920|-1803009493.8775592|[[0.5080534815788269, 0.7218637466430664], [0.49979346990585327, 0.6867483854293823], [0.4903769791126251, 0.6543694138526917], [0.4780395030975342, 0.6239111423492432], [0.46381676197052, 0.5978642702102661], [0.4525112509727478, 0.5775307416915894], [0.4443615972995758, 0.5626850724220276], [0.44141826033592224, 0.5524473190307617], [0.4414985179901123, 0.5447462201118469], [0.4436239004135132, 0.5385591387748718], [0.4467189610004425, 0.5331442952156067], [0.45035654306411743, 0.5285878777503967], [0.454265296459198, 0.5239232182502747], [0.4592125415802002, 0.519206702709198], [0.46452632546424866, 0.5144939422607422], [0.4705671966075897, 0.5102091431617737], [0.4773910641670227, 0.5061658620834351], [0.48454710841178894, 0.5023685097694397], [0.4926908314228058, 0.4983820915222168], [0.5035502910614014, 0.4945223927497864], [0.516606330871582, 0.4902733862400055], [0.532027542591095, 0.48581916093826294], [0.5493320226669312, 0.4812978506088257], [0.5673295259475708, 0.478147953748703], [0.5759605169296265, 0.47430139780044556], [0.5804398655891418, 0.4727286696434021], [0.579956591129303, 0.4739561378955841], [0.5775607824325562, 0.4783047139644623], [0.5719226002693176, 0.4796174168586731], [0.5643324255943298, 0.4760184586048126], [0.5535158514976501, 0.4678231477737427], [0.5419113636016846, 0.4578644633293152], [0.5301187634468079, 0.44725272059440613], [0.5166952013969421, 0.4362865090370178], [0.5080526471138, 0.42655324935913086], [0.5030187964439392, 0.41803669929504395], [0.5016381144523621, 0.41048121452331543], [0.5041704177856445, 0.40337881445884705], [0.5050457715988159, 0.39679309725761414], [0.5063863396644592, 0.3940485715866089], [0.5079178810119629, 0.39531153440475464], [0.5099020600318909, 0.3987121284008026], [0.5115795731544495, 0.4058075547218323], [0.5136065483093262, 0.41484534740448], [0.5166282057762146, 0.4270232021808624], [0.5194196105003357, 0.4403233230113983], [0.5205081105232239, 0.45375579595565796], [0.5218449831008911, 0.46613094210624695], [0.5229405760765076, 0.4773348569869995], [0.5219587683677673, 0.4863205552101135], [0.5198045969009399, 0.49475058913230896], [0.5173491835594177, 0.5025678873062134], [0.5151249170303345, 0.5101598501205444]]
