292|-98710752.04602163|[[0.4321233034133911, 0.47358906269073486], [0.43645235896110535, 0.47338923811912537], [0.43914133310317993, 0.47431766986846924], [0.44189226627349854, 0.47549915313720703], [0.44228067994117737, 0.47523096203804016], [0.4418256878852844, 0.4758050739765167], [0.44283661246299744, 0.47650834918022156], [0.44450584053993225, 0.47926419973373413], [0.4441635012626648, 0.4842250645160675], [0.4439244866371155, 0.48630866408348083], [0.44205260276794434, 0.4874763786792755], [0.44307741522789, 0.491773784160614], [0.44087857007980347, 0.49463850259780884], [0.43654489517211914, 0.4974326491355896], [0.43374109268188477, 0.5008477568626404], [0.43192794919013977, 0.5026823282241821], [0.4326325058937073, 0.5035408735275269], [0.43508294224739075, 0.5042514801025391], [0.4390489161014557, 0.5048609972000122], [0.4435678720474243, 0.5055341720581055], [0.44918254017829895, 0.5057380199432373], [0.45555898547172546, 0.505396842956543], [0.4647632837295532, 0.5033886432647705], [0.47570013999938965, 0.5024623870849609], [0.4828668236732483, 0.5047146677970886], [0.482358455657959, 0.5106726288795471], [0.4744977653026581, 0.5119067430496216], [0.4622262418270111, 0.5101088881492615], [0.45244932174682617, 0.5112318396568298], [0.44681623578071594, 0.5148938298225403], [0.4422573745250702, 0.5194219350814819], [0.43858376145362854, 0.5212364196777344], [0.43578067421913147, 0.5221633911132812], [0.43689078092575073, 0.5220338106155396], [0.4387655258178711, 0.5228044390678406], [0.44075050950050354, 0.524895966053009], [0.4425685405731201, 0.526868462562561], [0.4436914920806885, 0.5284107327461243], [0.4447592496871948, 0.5294711589813232], [0.4451815187931061, 0.5308812260627747], [0.4453491270542145, 0.5320001840591431], [0.4451579451560974, 0.5323331952095032], [0.44562622904777527, 0.5328130125999451], [0.4466117024421692, 0.5335622429847717], [0.4475826621055603, 0.5339409112930298], [0.44804516434669495, 0.5337526202201843], [0.44860485196113586, 0.5331106185913086], [0.4500194787979126, 0.5317862033843994], [0.4507623612880707, 0.5293964743614197], [0.4516308903694153, 0.5270663499832153], [0.4520489275455475, 0.5247802138328552], [0.4523998498916626, 0.5225523710250854], [0.4530002474784851, 0.5204103589057922]]
584|-99345852.12271164|[[0.43227532505989075, 0.46890923380851746], [0.43573248386383057, 0.46962928771972656], [0.438050240278244, 0.47068846225738525], [0.4404391348361969, 0.4720107614994049], [0.4421579837799072, 0.4733448326587677], [0.44234731793403625, 0.4734139144420624], [0.4414254426956177, 0.4744192361831665], [0.4424387812614441, 0.4758637845516205], [0.4441531002521515, 0.478289932012558], [0.4448535442352295, 0.4813019037246704], [0.44479015469551086, 0.4866804778575897], [0.4457496106624603, 0.4884156584739685], [0.44547030329704285, 0.4898514747619629], [0.44654399156570435, 0.4936126172542572], [0.4484226703643799, 0.497408926486969], [0.4489447772502899, 0.5008112788200378], [0.4494299292564392, 0.5033319592475891], [0.4508441686630249, 0.505016565322876], [0.4529338479042053, 0.5061976313591003], [0.45638054609298706, 0.507015585899353], [0.4611254930496216, 0.5074178576469421], [0.46855634450912476, 0.5056175589561462], [0.474565327167511, 0.504608690738678], [0.47780776023864746, 0.5061567425727844], [0.4767364263534546, 0.5102319717407227], [0.4707272946834564, 0.5108261704444885], [0.4634091854095459, 0.5109402537345886], [0.454364150762558, 0.5105400085449219], [0.44794270396232605, 0.5124403834342957], [0.44463929533958435, 0.514551043510437], [0.4415348768234253, 0.518839418888092], [0.43934276700019836, 0.5205492377281189], [0.4365495443344116, 0.5219317078590393], [0.4367550015449524, 0.5219861268997192], [0.4390715956687927, 0.5222741961479187], [0.44137850403785706, 0.5232211351394653], [0.44438636302948, 0.5244612693786621], [0.4464265704154968, 0.5258476138114929], [0.4474896788597107, 0.5270304083824158], [0.44793400168418884, 0.527703583240509], [0.4477405548095703, 0.5281895399093628], [0.44808611273765564, 0.5291287302970886], [0.4489898681640625, 0.5300431251525879], [0.450175404548645, 0.530692994594574], [0.4511032700538635, 0.5307291746139526], [0.45271798968315125, 0.5298031568527222], [0.45379120111465454, 0.5283941030502319], [0.4546413719654083, 0.5259650349617004], [0.4553089141845703, 0.5233002305030823], [0.4557194113731384, 0.5209235548973083], [0.4564417004585266, 0.5188855528831482], [0.4574040174484253, 0.5168867111206055], [0.45848220586776733, 0.5148457884788513]]
876|-99684303.4448291|[[0.43483540415763855, 0.4666527509689331], [0.43730631470680237, 0.4672262370586395], [0.4393123686313629, 0.4684291481971741], [0.44170504808425903, 0.46980300545692444], [0.44287174940109253, 0.4697524607181549], [0.4414640963077545, 0.47057053446769714], [0.44124484062194824, 0.4720999598503113], [0.44199028611183167, 0.4731663465499878], [0.4422627091407776, 0.47561728954315186], [0.4418466091156006, 0.48167136311531067], [0.4417988359928131, 0.48405447602272034], [0.44030898809432983, 0.48415300250053406], [0.44123396277427673, 0.48855385184288025], [0.44186675548553467, 0.4920729398727417], [0.44012072682380676, 0.49474024772644043], [0.4380008578300476, 0.4976997673511505], [0.43751248717308044, 0.5008774399757385], [0.4381936490535736, 0.5030483603477478], [0.4403720200061798, 0.5043227076530457], [0.44430479407310486, 0.5053930878639221], [0.44916465878486633, 0.5065808296203613], [0.4547790288925171, 0.5068560838699341], [0.463523268699646, 0.5059632658958435], [0.472786009311676, 0.5042600631713867], [0.4784312844276428, 0.5044435262680054], [0.47971493005752563, 0.5091030597686768], [0.47404125332832336, 0.5115132331848145], [0.4658478796482086, 0.5107089281082153], [0.45644187927246094, 0.5102455615997314], [0.4492519199848175, 0.5119159817695618], [0.4456351101398468, 0.5146124362945557], [0.4423542618751526, 0.5181789398193359], [0.4400886297225952, 0.5206437706947327], [0.43708691000938416, 0.5219394564628601], [0.4369838237762451, 0.5219092965126038], [0.43935340642929077, 0.5221492052078247], [0.44159045815467834, 0.5230711698532104], [0.4446302354335785, 0.5240539908409119], [0.44697150588035583, 0.5252958536148071], [0.4484054148197174, 0.5261196494102478], [0.4488180875778198, 0.526671826839447], [0.4486294984817505, 0.5269859433174133], [0.44897881150245667, 0.5280690789222717], [0.4498949646949768, 0.5287922024726868], [0.4509153366088867, 0.5294522047042847], [0.45196399092674255, 0.5293136835098267], [0.45381128787994385, 0.5281721949577332], [0.4550870656967163, 0.5268001556396484], [0.4563257396221161, 0.5243911147117615], [0.45683780312538147, 0.5219642519950867], [0.4572311341762543, 0.5196887254714966], [0.4579015076160431, 0.5176677703857422], [0.4586985111236572, 0.5157612562179565]]
1168|-99462030.46532512|[[0.4337589144706726, 0.46841633319854736], [0.43657493591308594, 0.4692130982875824], [0.4389556348323822, 0.47016844153404236], [0.44124096632003784, 0.4715033173561096], [0.44262707233428955, 0.4719838500022888], [0.44188693165779114, 0.4724048674106598], [0.4416448175907135, 0.47382792830467224], [0.4421059787273407, 0.47460266947746277], [0.44363996386528015, 0.4774972200393677], [0.44365277886390686, 0.48141708970069885], [0.4430597722530365, 0.48623523116111755], [0.44352900981903076, 0.4857669472694397], [0.4430658519268036, 0.4891854226589203], [0.4447835385799408, 0.49314287304878235], [0.4451483190059662, 0.49686527252197266], [0.4439486563205719, 0.4994824230670929], [0.4431611895561218, 0.5019245147705078], [0.4441639184951782, 0.5037755966186523], [0.44656193256378174, 0.5049838423728943], [0.4502585232257843, 0.5063487887382507], [0.45472925901412964, 0.5070673227310181], [0.4615951180458069, 0.5070447325706482], [0.4704018831253052, 0.5050244927406311], [0.4765971302986145, 0.5041372179985046], [0.4795877933502197, 0.5074484348297119], [0.4760837256908417, 0.5115010738372803], [0.4693426787853241, 0.5108106732368469], [0.46045243740081787, 0.5104219913482666], [0.4515223801136017, 0.511116087436676], [0.4470224380493164, 0.513604462146759], [0.4438411295413971, 0.5159305930137634], [0.4411402940750122, 0.5202658772468567], [0.43847593665122986, 0.5213291645050049], [0.4365376830101013, 0.5220289826393127], [0.43815118074417114, 0.5220385193824768], [0.4403298795223236, 0.5226417779922485], [0.4430219531059265, 0.52361661195755], [0.4458208382129669, 0.5248983502388], [0.4476066529750824, 0.5259466767311096], [0.4484773874282837, 0.5268481969833374], [0.4484122097492218, 0.5271772146224976], [0.44829505681991577, 0.5278967618942261], [0.4490514397621155, 0.5289307832717896], [0.45014435052871704, 0.5295995473861694], [0.4510456621646881, 0.5299985408782959], [0.45256665349006653, 0.5293661952018738], [0.45408982038497925, 0.5281464457511902], [0.4550798833370209, 0.5263134241104126], [0.4560801684856415, 0.5236352682113647], [0.4564811885356903, 0.5212108492851257], [0.4569883644580841, 0.5190465450286865], [0.45779353380203247, 0.5171281695365906], [0.4587884247303009, 0.5150492787361145]]
1460|-99468291.06226258|[[0.432653546333313, 0.46866747736930847], [0.4359806180000305, 0.46928316354751587], [0.4383719563484192, 0.47015467286109924], [0.44068843126296997, 0.47142186760902405], [0.44247227907180786, 0.47227486968040466], [0.44212639331817627, 0.4723907709121704], [0.44155848026275635, 0.47355419397354126], [0.44203606247901917, 0.4744827151298523], [0.44359534978866577, 0.47727882862091064], [0.4437272250652313, 0.4807243049144745], [0.44313737750053406, 0.4860316812992096], [0.4439048171043396, 0.4860684275627136], [0.44312578439712524, 0.48877212405204773], [0.4448196291923523, 0.4927697777748108], [0.4458053708076477, 0.4965943992137909], [0.44513311982154846, 0.49948930740356445], [0.4442969262599945, 0.502029538154602], [0.44517844915390015, 0.503826916217804], [0.44743600487709045, 0.5051347613334656], [0.451158344745636, 0.5065061450004578], [0.4557294547557831, 0.5072703957557678], [0.4628518223762512, 0.5069531202316284], [0.4712449610233307, 0.5051333904266357], [0.4767196476459503, 0.5042531490325928], [0.47926267981529236, 0.508025050163269], [0.47479331493377686, 0.5114349722862244], [0.4679068624973297, 0.5106415748596191], [0.4587925374507904, 0.5102121829986572], [0.4503325819969177, 0.5110809803009033], [0.44612476229667664, 0.513859748840332], [0.4429928660392761, 0.5166389346122742], [0.44052934646606445, 0.5204453468322754], [0.43769335746765137, 0.5215458869934082], [0.43625807762145996, 0.5220625996589661], [0.4381892681121826, 0.5220638513565063], [0.44036850333213806, 0.5227951407432556], [0.4432370960712433, 0.5238776206970215], [0.44586989283561707, 0.525226354598999], [0.4473191797733307, 0.5263908505439758], [0.44806107878685, 0.5273224711418152], [0.44795018434524536, 0.5277358889579773], [0.4479314982891083, 0.5284674763679504], [0.4487215280532837, 0.5295904874801636], [0.4498443305492401, 0.5302661657333374], [0.4508584141731262, 0.5305666327476501], [0.4522566795349121, 0.5299698710441589], [0.45366552472114563, 0.5287066698074341], [0.45450645685195923, 0.5267727375030518], [0.4553203284740448, 0.5239965319633484], [0.4557470679283142, 0.5215227603912354], [0.4563179910182953, 0.5194018483161926], [0.4572294056415558, 0.5173807144165039], [0.4582631587982178, 0.5153284072875977]]
1752|-99400235.42797987|[[0.4318074882030487, 0.4689582586288452], [0.4353010356426239, 0.46960756182670593], [0.4374060034751892, 0.4706954061985016], [0.43970799446105957, 0.4719215929508209], [0.44161975383758545, 0.47339868545532227], [0.44274529814720154, 0.47397899627685547], [0.4416486918926239, 0.4746699929237366], [0.4423438012599945, 0.4762646555900574], [0.4432811141014099, 0.4773196578025818], [0.4453001022338867, 0.48065176606178284], [0.4458640515804291, 0.4844467341899872], [0.44562283158302307, 0.4888063073158264], [0.4475398063659668, 0.49062588810920715], [0.4476618468761444, 0.49283915758132935], [0.4491708278656006, 0.4959752559661865], [0.451483815908432, 0.49956202507019043], [0.4535251259803772, 0.5027976632118225], [0.45566806197166443, 0.504848301410675], [0.4580678343772888, 0.5063159465789795], [0.4606585204601288, 0.5068308711051941], [0.4652306139469147, 0.5062022805213928], [0.4707772731781006, 0.5053560733795166], [0.4733428955078125, 0.5051637291908264], [0.47560393810272217, 0.5079322457313538], [0.47180473804473877, 0.5104638934135437], [0.46696072816848755, 0.5105327367782593], [0.459989994764328, 0.5108218193054199], [0.45170003175735474, 0.5105948448181152], [0.44628745317459106, 0.5126171708106995], [0.4440429210662842, 0.5144740343093872], [0.4412071108818054, 0.5186313986778259], [0.43933650851249695, 0.5204254388809204], [0.43681129813194275, 0.5218602418899536], [0.43650057911872864, 0.5219911336898804], [0.4389476478099823, 0.5221338272094727], [0.4412645697593689, 0.5230326652526855], [0.44439399242401123, 0.5240787267684937], [0.4468066394329071, 0.5253584980964661], [0.44815731048583984, 0.526328980922699], [0.44859859347343445, 0.5269288420677185], [0.4483649432659149, 0.5273021459579468], [0.4487881660461426, 0.5283777713775635], [0.4497438967227936, 0.5291523933410645], [0.45076608657836914, 0.5298529863357544], [0.451898992061615, 0.5296034812927246], [0.45375049114227295, 0.5284891128540039], [0.45482733845710754, 0.5270559787750244], [0.45598340034484863, 0.5243571400642395], [0.45647355914115906, 0.5218570232391357], [0.45687970519065857, 0.5195503234863281], [0.45767417550086975, 0.5175302624702454], [0.4586184620857239, 0.5154831409454346], [0.45978423953056335, 0.5132571458816528]]
2044|-99535144.07192883|[[0.43226075172424316, 0.4681503176689148], [0.4355437159538269, 0.4688662588596344], [0.4377409815788269, 0.46986427903175354], [0.4400571584701538, 0.4711395800113678], [0.4418272376060486, 0.4724963307380676], [0.4426840841770172, 0.4727991223335266], [0.441452294588089, 0.47357407212257385], [0.4420466125011444, 0.47541186213493347], [0.44331592321395874, 0.47654131054878235], [0.4446643590927124, 0.47957250475883484], [0.4450853168964386, 0.48403555154800415], [0.44479015469551086, 0.48805785179138184], [0.44593268632888794, 0.48884424567222595], [0.4461687207221985, 0.49185729026794434], [0.44800853729248047, 0.495417982339859], [0.4500170350074768, 0.4992389380931854], [0.4510810971260071, 0.5025095343589783], [0.4527769088745117, 0.504292368888855], [0.4550131857395172, 0.5058145523071289], [0.45786339044570923, 0.5067924857139587], [0.4621988832950592, 0.5070449113845825], [0.46878477931022644, 0.5056361556053162], [0.47314974665641785, 0.5046806931495667], [0.4762103855609894, 0.5065099000930786], [0.47474849224090576, 0.509891927242279], [0.4691266417503357, 0.5105245113372803], [0.46305716037750244, 0.5110489726066589], [0.45446690917015076, 0.510251522064209], [0.4474194347858429, 0.511994481086731], [0.44482970237731934, 0.5141355395317078], [0.4419856071472168, 0.5177050828933716], [0.43994009494781494, 0.5205050110816956], [0.43725335597991943, 0.5217403769493103], [0.4364466071128845, 0.5220186710357666], [0.4386498034000397, 0.5220932364463806], [0.44093289971351624, 0.5228851437568665], [0.44393396377563477, 0.5238943696022034], [0.4465300142765045, 0.5252009630203247], [0.4480954110622406, 0.526115894317627], [0.44868141412734985, 0.5268245339393616], [0.4484747648239136, 0.527155339717865], [0.44873180985450745, 0.5281714797019958], [0.4496361315250397, 0.5290102958679199], [0.45074930787086487, 0.52972412109375], [0.45170071721076965, 0.5296747088432312], [0.4536007344722748, 0.5285918116569519], [0.45475995540618896, 0.5271601676940918], [0.4559486508369446, 0.5245927572250366], [0.45649221539497375, 0.5220754742622375], [0.4568879008293152, 0.5197322368621826], [0.45763933658599854, 0.5176911950111389], [0.4585670530796051, 0.5156607031822205], [0.4597276747226715, 0.5134186148643494]]
2336|-99518123.98678678|[[0.4326430559158325, 0.46793222427368164], [0.43564143776893616, 0.46881362795829773], [0.4377501606941223, 0.46988338232040405], [0.4399878978729248, 0.4711889326572418], [0.44171807169914246, 0.4726339876651764], [0.4427407681941986, 0.4731142520904541], [0.4415624141693115, 0.473894327878952], [0.44214555621147156, 0.4756435751914978], [0.44306254386901855, 0.47665321826934814], [0.4449180066585541, 0.4799915850162506], [0.44545528292655945, 0.4837014377117157], [0.44519463181495667, 0.4883163869380951], [0.4470382332801819, 0.4899585247039795], [0.44711267948150635, 0.4920515716075897], [0.4485042691230774, 0.495300829410553], [0.45085451006889343, 0.49889591336250305], [0.4528058171272278, 0.502323567867279], [0.4550231993198395, 0.5044215321540833], [0.4575103521347046, 0.5060926079750061], [0.4599316120147705, 0.5067539215087891], [0.4642665684223175, 0.5063652992248535], [0.46985894441604614, 0.5055506825447083], [0.47255656123161316, 0.505194365978241], [0.4754761755466461, 0.507339596748352], [0.47242286801338196, 0.5100591778755188], [0.4674660265445709, 0.5104506611824036], [0.46129173040390015, 0.5110079050064087], [0.45316562056541443, 0.5102846622467041], [0.44670605659484863, 0.5121282935142517], [0.4446038007736206, 0.5140196084976196], [0.4418954849243164, 0.5175591707229614], [0.4400384724140167, 0.5204343199729919], [0.4375734329223633, 0.5215779542922974], [0.43646758794784546, 0.5220245122909546], [0.43850845098495483, 0.5220705270767212], [0.4408148527145386, 0.5227611064910889], [0.4437430202960968, 0.5237851142883301], [0.44653353095054626, 0.5249453783035278], [0.44828683137893677, 0.5257803201675415], [0.44907844066619873, 0.526353120803833], [0.44891616702079773, 0.5266122221946716], [0.44923561811447144, 0.5277308225631714], [0.4500140845775604, 0.5283790826797485], [0.4510626494884491, 0.5290652513504028], [0.4521481692790985, 0.5289592742919922], [0.45405417680740356, 0.5277256965637207], [0.45544952154159546, 0.5263400077819824], [0.456765741109848, 0.5239096879959106], [0.4571828246116638, 0.5214487314224243], [0.45757052302360535, 0.5191546678543091], [0.4582831561565399, 0.5171266198158264], [0.45911741256713867, 0.5151154398918152], [0.46032997965812683, 0.512870728969574]]
2628|-99482917.72277376|[[0.4325089752674103, 0.4683123230934143], [0.435621052980423, 0.4691036343574524], [0.437751829624176, 0.4701361358165741], [0.44001534581184387, 0.47137078642845154], [0.441749632358551, 0.4727858901023865], [0.4427095651626587, 0.47319865226745605], [0.44151556491851807, 0.47392764687538147], [0.4421423673629761, 0.47566038370132446], [0.4431551992893219, 0.47665321826934814], [0.44487878680229187, 0.4799111783504486], [0.4453805685043335, 0.4837338924407959], [0.4450179934501648, 0.4883405566215515], [0.4467412233352661, 0.4896335005760193], [0.4468437135219574, 0.4917909502983093], [0.4483051002025604, 0.49512389302253723], [0.45054084062576294, 0.4987803101539612], [0.45241090655326843, 0.5021902918815613], [0.45433712005615234, 0.504245936870575], [0.4567873775959015, 0.5059229731559753], [0.4592651128768921, 0.5067073702812195], [0.46355709433555603, 0.5065551996231079], [0.4692705571651459, 0.5055716037750244], [0.47223883867263794, 0.5051442980766296], [0.4752277433872223, 0.5070011615753174], [0.47274050116539, 0.5098084211349487], [0.46767938137054443, 0.5103988647460938], [0.461556077003479, 0.5109775066375732], [0.453518271446228, 0.5102292895317078], [0.4465250074863434, 0.5118222236633301], [0.4445081353187561, 0.5137245655059814], [0.4418430030345917, 0.5171143412590027], [0.4399152100086212, 0.5202805995941162], [0.43777936697006226, 0.5214042067527771], [0.43613314628601074, 0.5220655202865601], [0.4377111792564392, 0.5220151543617249], [0.44006454944610596, 0.5225588083267212], [0.44275832176208496, 0.5235194563865662], [0.4457300305366516, 0.5247178077697754], [0.4477522671222687, 0.5257121920585632], [0.44880902767181396, 0.526504397392273], [0.44878286123275757, 0.5267464518547058], [0.44878190755844116, 0.5274643898010254], [0.4494832754135132, 0.5284156203269958], [0.45061004161834717, 0.5290613770484924], [0.45142680406570435, 0.5293765664100647], [0.45324942469596863, 0.5285307168960571], [0.4547656178474426, 0.5271232724189758], [0.45601797103881836, 0.5252084732055664], [0.4568111002445221, 0.5226302146911621], [0.45720115303993225, 0.520257294178009], [0.4577617943286896, 0.5181161165237427], [0.45852285623550415, 0.5161941647529602], [0.45962855219841003, 0.5140075087547302]]
2920|-99447878.91778913|[[0.43292075395584106, 0.4679702818393707], [0.4356582462787628, 0.4690109193325043], [0.43763411045074463, 0.47018876671791077], [0.4397587180137634, 0.4715351462364197], [0.44150829315185547, 0.4730842709541321], [0.4426741600036621, 0.4739104211330414], [0.4419100284576416, 0.474613755941391], [0.4420185089111328, 0.4760260581970215], [0.44307026267051697, 0.4773443639278412], [0.44507962465286255, 0.48019763827323914], [0.44602712988853455, 0.48324716091156006], [0.44676750898361206, 0.48779428005218506], [0.4473218321800232, 0.4907492995262146], [0.44905608892440796, 0.4928019046783447], [0.4496850371360779, 0.4956454634666443], [0.4517792761325836, 0.49832507967948914], [0.4541469216346741, 0.5016830563545227], [0.4571055471897125, 0.5041002631187439], [0.4598635137081146, 0.5058133602142334], [0.46239468455314636, 0.5063713788986206], [0.46626442670822144, 0.5061346292495728], [0.46932923793792725, 0.5056876540184021], [0.47215381264686584, 0.5061591267585754], [0.4723993241786957, 0.508148193359375], [0.4685389995574951, 0.5099897980690002], [0.4642469882965088, 0.510488748550415], [0.45787113904953003, 0.5108125805854797], [0.45082831382751465, 0.5103059411048889], [0.4456460773944855, 0.512139081954956], [0.444013386964798, 0.5138819813728333], [0.44152265787124634, 0.5171667337417603], [0.43986648321151733, 0.5202227830886841], [0.43801945447921753, 0.5212596654891968], [0.43634164333343506, 0.5220215916633606], [0.43780338764190674, 0.5219876766204834], [0.4402816593647003, 0.5224589109420776], [0.4429287612438202, 0.523485541343689], [0.44590744376182556, 0.5244875550270081], [0.4480878710746765, 0.5253642201423645], [0.4493708610534668, 0.525962769985199], [0.44945603609085083, 0.5260260701179504], [0.449699729681015, 0.5267993807792664], [0.4502566456794739, 0.5274710655212402], [0.4512442946434021, 0.5281411409378052], [0.4521822929382324, 0.5282863974571228], [0.454397588968277, 0.5270844101905823], [0.45603954792022705, 0.5255869626998901], [0.45749568939208984, 0.5236327648162842], [0.4579342007637024, 0.5212398767471313], [0.45829716324806213, 0.51897132396698], [0.4588392376899719, 0.5168875455856323], [0.4596143662929535, 0.514945387840271], [0.4607480466365814, 0.5127618312835693]]
