292|-93066731.40267171|[[0.5021558403968811, 0.5530275106430054], [0.5020164847373962, 0.5491182208061218], [0.501756489276886, 0.544770359992981], [0.502024233341217, 0.5409111380577087], [0.5026183724403381, 0.537484884262085], [0.5045417547225952, 0.5343867540359497], [0.5069183707237244, 0.5305212140083313], [0.5086734294891357, 0.5243597626686096], [0.509566605091095, 0.5175830125808716], [0.5093207359313965, 0.5124290585517883], [0.509723424911499, 0.5087308287620544], [0.5085533857345581, 0.5046226382255554], [0.5061503648757935, 0.500992476940155], [0.5033552646636963, 0.49797117710113525], [0.4991443157196045, 0.49481400847435], [0.49512529373168945, 0.49148908257484436], [0.49204495549201965, 0.4887036383152008], [0.489619642496109, 0.4858502447605133], [0.4873003363609314, 0.48398450016975403], [0.4849660098552704, 0.4833567440509796], [0.48394083976745605, 0.4838753640651703], [0.4837770462036133, 0.4843582212924957], [0.4836918115615845, 0.4852008521556854], [0.4820214807987213, 0.4880822002887726], [0.4788264036178589, 0.49350693821907043], [0.47672712802886963, 0.4988986551761627], [0.47486647963523865, 0.5049518346786499], [0.47238796949386597, 0.5090917944908142], [0.46997177600860596, 0.510002851486206], [0.4678359925746918, 0.5093113780021667], [0.4664989709854126, 0.5089195370674133], [0.4648936986923218, 0.5089908242225647], [0.46184420585632324, 0.5094330906867981], [0.45768073201179504, 0.5097870230674744], [0.4532366394996643, 0.5101565718650818], [0.4486192464828491, 0.5101234912872314], [0.4442806541919708, 0.5097386240959167], [0.4407183825969696, 0.5088464021682739], [0.43713080883026123, 0.5082982778549194], [0.4336073100566864, 0.5080292224884033], [0.43023645877838135, 0.5078780055046082], [0.42870181798934937, 0.5071975588798523], [0.42793431878089905, 0.5064395070075989], [0.42660588026046753, 0.5057564973831177], [0.4249921143054962, 0.5053431391716003], [0.42297956347465515, 0.5049994587898254], [0.4210430383682251, 0.5047865509986877], [0.4190395474433899, 0.5047840476036072], [0.41709044575691223, 0.5046423673629761], [0.4153255820274353, 0.5044295191764832], [0.41403400897979736, 0.504342794418335], [0.4128068685531616, 0.5041558146476746], [0.4115506410598755, 0.5036883354187012]]
584|-92875368.73186111|[[0.5025540590286255, 0.5536408424377441], [0.5026763677597046, 0.5499101281166077], [0.5025759935379028, 0.5456454753875732], [0.5030083656311035, 0.5418022274971008], [0.5040884613990784, 0.5387259125709534], [0.5062837600708008, 0.5352628231048584], [0.5090885162353516, 0.5310301184654236], [0.5109302997589111, 0.5244916081428528], [0.5117793679237366, 0.5179494619369507], [0.5117096304893494, 0.5130190253257751], [0.5120434761047363, 0.5092388987541199], [0.510018527507782, 0.5052967667579651], [0.5076689720153809, 0.5018725991249084], [0.5039089918136597, 0.49902182817459106], [0.50017911195755, 0.4956834614276886], [0.4957939088344574, 0.492292582988739], [0.49229148030281067, 0.4894585907459259], [0.4896782338619232, 0.4866080582141876], [0.4873799681663513, 0.48464855551719666], [0.4846329689025879, 0.4836760461330414], [0.4831942617893219, 0.4838744103908539], [0.483341783285141, 0.484220415353775], [0.4832688868045807, 0.48466795682907104], [0.48176977038383484, 0.4876335561275482], [0.4785132110118866, 0.49313974380493164], [0.47608524560928345, 0.4982611835002899], [0.47445735335350037, 0.5048776865005493], [0.4722408354282379, 0.5090416669845581], [0.4695606827735901, 0.5095807909965515], [0.46768444776535034, 0.5091789960861206], [0.46628129482269287, 0.5090079307556152], [0.4640267491340637, 0.5093610882759094], [0.46011117100715637, 0.5097824931144714], [0.45541083812713623, 0.5098410248756409], [0.45052096247673035, 0.5101256370544434], [0.4457477927207947, 0.5097421407699585], [0.4418551027774811, 0.5090076327323914], [0.437986820936203, 0.5083214044570923], [0.43421077728271484, 0.508110523223877], [0.4304555654525757, 0.5079808235168457], [0.42846548557281494, 0.5073344707489014], [0.4275413453578949, 0.5065727829933167], [0.4260626435279846, 0.5058006048202515], [0.4243522882461548, 0.5053437948226929], [0.422191858291626, 0.5049475431442261], [0.42006587982177734, 0.5047249794006348], [0.41788312792778015, 0.5047173500061035], [0.41578397154808044, 0.5045983195304871], [0.41393256187438965, 0.5044388175010681], [0.4125533401966095, 0.5042816996574402], [0.41114354133605957, 0.5040395259857178], [0.4098013639450073, 0.5035355091094971], [0.40895572304725647, 0.5030171275138855]]
876|-92902432.35214952|[[0.5027406811714172, 0.5543382167816162], [0.5025990605354309, 0.5507068634033203], [0.5024939179420471, 0.5465512275695801], [0.5026264786720276, 0.542681097984314], [0.503119945526123, 0.5391810536384583], [0.5048805475234985, 0.5363360643386841], [0.5069577097892761, 0.5328324437141418], [0.5090036392211914, 0.5271377563476562], [0.5099164843559265, 0.5203794836997986], [0.5098727941513062, 0.5146358013153076], [0.5093430876731873, 0.5104817152023315], [0.5091407895088196, 0.5066068768501282], [0.5067281723022461, 0.5022689700126648], [0.5041109323501587, 0.49877285957336426], [0.5006184577941895, 0.49547278881073], [0.4963594079017639, 0.4922105371952057], [0.49284201860427856, 0.4888046383857727], [0.4903967082500458, 0.4858401417732239], [0.48782798647880554, 0.48390308022499084], [0.4856955111026764, 0.4830408990383148], [0.48464345932006836, 0.4834575951099396], [0.4840528666973114, 0.4843716025352478], [0.48374491930007935, 0.48547232151031494], [0.4819546937942505, 0.4882345199584961], [0.4788787364959717, 0.49370861053466797], [0.4767370820045471, 0.499119371175766], [0.474812388420105, 0.5050002336502075], [0.47239628434181213, 0.5090816020965576], [0.46998506784439087, 0.5098953247070312], [0.46790000796318054, 0.5092823505401611], [0.4666682183742523, 0.5089596509933472], [0.4648648798465729, 0.5091972351074219], [0.46150705218315125, 0.5097180008888245], [0.4569680392742157, 0.5097436308860779], [0.4522801339626312, 0.5099812746047974], [0.447438508272171, 0.509756326675415], [0.44353312253952026, 0.5089371800422668], [0.43967610597610474, 0.5083937048912048], [0.43594369292259216, 0.5079882144927979], [0.43215489387512207, 0.5077527165412903], [0.43001288175582886, 0.5071970820426941], [0.4290308952331543, 0.5064823627471924], [0.4276672303676605, 0.505813479423523], [0.4258320927619934, 0.505366861820221], [0.423576682806015, 0.5050334930419922], [0.4214153587818146, 0.5048096179962158], [0.41918814182281494, 0.5047970414161682], [0.4170285165309906, 0.5045610666275024], [0.41514864563941956, 0.504422128200531], [0.41372019052505493, 0.5042774677276611], [0.4122324585914612, 0.503929615020752], [0.4108481705188751, 0.5033127665519714], [0.4099422097206116, 0.502733051776886]]
1168|-98086812.23351336|[[0.48644500970840454, 0.5071675181388855], [0.4902787208557129, 0.5075131058692932], [0.49441006779670715, 0.5074824094772339], [0.49876582622528076, 0.5073317289352417], [0.5039443969726562, 0.5066305994987488], [0.5106377601623535, 0.5060985684394836], [0.5177774429321289, 0.5044680237770081], [0.5241421461105347, 0.5005043148994446], [0.5301476120948792, 0.49633216857910156], [0.5370311141014099, 0.49344414472579956], [0.5428643822669983, 0.49066466093063354], [0.5464531779289246, 0.4872729778289795], [0.5471879243850708, 0.48522481322288513], [0.5462121367454529, 0.4833614230155945], [0.5438346862792969, 0.4812809228897095], [0.540913462638855, 0.4791298508644104], [0.537656843662262, 0.47786945104599], [0.532968282699585, 0.4784468710422516], [0.5271554589271545, 0.47981175780296326], [0.5208170413970947, 0.4815484285354614], [0.5147125720977783, 0.4849447011947632], [0.5088184475898743, 0.4902022182941437], [0.5023667812347412, 0.4952057898044586], [0.4958104193210602, 0.4990728497505188], [0.4888421297073364, 0.4993102550506592], [0.4819776713848114, 0.5004904866218567], [0.4773724675178528, 0.5029294490814209], [0.47319337725639343, 0.5033108592033386], [0.47069624066352844, 0.5031244158744812], [0.46852385997772217, 0.5025324821472168], [0.46669280529022217, 0.501686155796051], [0.46555081009864807, 0.49966996908187866], [0.4647517800331116, 0.4969923496246338], [0.4643605351448059, 0.49484527111053467], [0.46436047554016113, 0.49362561106681824], [0.4647220969200134, 0.4921802580356598], [0.46515920758247375, 0.4906136393547058], [0.46568143367767334, 0.48942551016807556], [0.4674520492553711, 0.48889780044555664], [0.4699713885784149, 0.4889131188392639], [0.471903532743454, 0.48888668417930603], [0.47390061616897583, 0.4888785779476166], [0.4762009382247925, 0.48903733491897583], [0.4781171977519989, 0.4898087680339813], [0.47955235838890076, 0.49019360542297363], [0.481151819229126, 0.49030545353889465], [0.4830593466758728, 0.490214467048645], [0.48481619358062744, 0.48972734808921814], [0.48651909828186035, 0.4892098009586334], [0.4881516695022583, 0.4887615144252777], [0.48978203535079956, 0.48847487568855286], [0.4913392663002014, 0.48809710144996643], [0.49312514066696167, 0.48765626549720764]]
1460|-797030663.4932501|[[0.20270946621894836, 0.3568129241466522], [0.2047397792339325, 0.359341561794281], [0.20686650276184082, 0.3622692823410034], [0.20917975902557373, 0.36592018604278564], [0.21189948916435242, 0.37047943472862244], [0.21560481190681458, 0.37713125348091125], [0.22060656547546387, 0.38514843583106995], [0.22696137428283691, 0.393399178981781], [0.23503464460372925, 0.4021872282028198], [0.242872416973114, 0.40978604555130005], [0.2506161332130432, 0.41841626167297363], [0.2573785185813904, 0.4259388744831085], [0.2586514353752136, 0.42560574412345886], [0.2587714195251465, 0.42059698700904846], [0.25829553604125977, 0.409574955701828], [0.25762781500816345, 0.3959389328956604], [0.253051221370697, 0.37958914041519165], [0.24509036540985107, 0.3619421422481537], [0.23563465476036072, 0.3415757715702057], [0.22248753905296326, 0.3197949528694153], [0.20708423852920532, 0.29257911443710327], [0.19042247533798218, 0.2629703879356384], [0.17218849062919617, 0.23099595308303833], [0.16366231441497803, 0.2167416512966156], [0.16425973176956177, 0.21570611000061035], [0.16492950916290283, 0.2145960032939911], [0.16561070084571838, 0.21337565779685974], [0.166262686252594, 0.21202588081359863], [0.16697809100151062, 0.21057811379432678], [0.16751590371131897, 0.208449125289917], [0.1677200198173523, 0.20654445886611938], [0.1677686870098114, 0.20525863766670227], [0.16791272163391113, 0.20393508672714233], [0.16832971572875977, 0.202650249004364], [0.16878685355186462, 0.20143797993659973], [0.16926181316375732, 0.2002469301223755], [0.18581461906433105, 0.2170957326889038], [0.21041032671928406, 0.24175259470939636], [0.23697030544281006, 0.26846593618392944], [0.26437318325042725, 0.29615163803100586], [0.2918006479740143, 0.32629284262657166], [0.318987637758255, 0.35333436727523804], [0.3413764238357544, 0.38036441802978516], [0.3559607267379761, 0.4059307873249054], [0.3668777346611023, 0.41381701827049255], [0.3679279088973999, 0.4129762053489685], [0.3556138873100281, 0.4178068935871124], [0.3416441082954407, 0.41818079352378845], [0.32680851221084595, 0.4151827096939087], [0.3148341178894043, 0.41051197052001953], [0.3049604892730713, 0.40622925758361816], [0.2973603308200836, 0.4028739929199219], [0.2917138338088989, 0.39991116523742676]]
1752|-1105788556.1530743|[[0.13841679692268372, 0.303437203168869], [0.13883966207504272, 0.3041473627090454], [0.13925129175186157, 0.3049425482749939], [0.13966339826583862, 0.3059033751487732], [0.14008250832557678, 0.30709215998649597], [0.14042288064956665, 0.3086453080177307], [0.14068609476089478, 0.3106987178325653], [0.14104962348937988, 0.31355684995651245], [0.14171826839447021, 0.3183203935623169], [0.14268362522125244, 0.32475751638412476], [0.14351481199264526, 0.3319723606109619], [0.14411675930023193, 0.3397825062274933], [0.14376917481422424, 0.34984660148620605], [0.14318931102752686, 0.36288952827453613], [0.1405959129333496, 0.37101054191589355], [0.13494732975959778, 0.3734586834907532], [0.1313629448413849, 0.36338937282562256], [0.13396841287612915, 0.35394760966300964], [0.1379222571849823, 0.34538665413856506], [0.1404501497745514, 0.33403274416923523], [0.1464918851852417, 0.3232678472995758], [0.15288841724395752, 0.31120944023132324], [0.15972858667373657, 0.2965860366821289], [0.16355085372924805, 0.2819867730140686], [0.16666728258132935, 0.26862433552742004], [0.16995123028755188, 0.25808316469192505], [0.17373573780059814, 0.25024670362472534], [0.17723900079727173, 0.24570325016975403], [0.18092793226242065, 0.24471086263656616], [0.1859753131866455, 0.2464834451675415], [0.19314655661582947, 0.2516171336174011], [0.19972190260887146, 0.2582244277000427], [0.20388463139533997, 0.2652655243873596], [0.20487645268440247, 0.27319976687431335], [0.20474651455879211, 0.28107306361198425], [0.20311355590820312, 0.2918127775192261], [0.20526695251464844, 0.31070393323898315], [0.20936405658721924, 0.32555362582206726], [0.2105100154876709, 0.3319584131240845], [0.20590168237686157, 0.3433799743652344], [0.19784599542617798, 0.3551684617996216], [0.18983879685401917, 0.35780462622642517], [0.1823103129863739, 0.359769344329834], [0.174870103597641, 0.35970115661621094], [0.16883453726768494, 0.3594537675380707], [0.16408178210258484, 0.3593074083328247], [0.16056042909622192, 0.3590742349624634], [0.15804889798164368, 0.3589319586753845], [0.1561737358570099, 0.3587287664413452], [0.1547083854675293, 0.3584352135658264], [0.15357443690299988, 0.35814183950424194], [0.1527162492275238, 0.3578788638114929], [0.15202763676643372, 0.3576226830482483]]
2044|-1204890826.5977533|[[0.08019953966140747, 0.28216463327407837], [0.0803714394569397, 0.28260982036590576], [0.0805763304233551, 0.28319787979125977], [0.08083221316337585, 0.2840070128440857], [0.08115977048873901, 0.285148561000824], [0.08158215880393982, 0.28677523136138916], [0.08212894201278687, 0.28903746604919434], [0.08286094665527344, 0.29218751192092896], [0.08367618918418884, 0.29663944244384766], [0.08464634418487549, 0.30318206548690796], [0.08605805039405823, 0.3126718997955322], [0.08785644173622131, 0.3269616365432739], [0.09032067656517029, 0.34327128529548645], [0.09371030330657959, 0.36368024349212646], [0.09704023599624634, 0.38843315839767456], [0.10158747434616089, 0.41226649284362793], [0.10291925072669983, 0.42525655031204224], [0.10188084840774536, 0.42956581711769104], [0.10031649470329285, 0.4241003692150116], [0.10135731101036072, 0.4147458076477051], [0.10266220569610596, 0.4102931022644043], [0.10393670201301575, 0.401933878660202], [0.10512113571166992, 0.3896212875843048], [0.10707646608352661, 0.37499162554740906], [0.10851362347602844, 0.3595682978630066], [0.10966265201568604, 0.3440700173377991], [0.11100134253501892, 0.32972145080566406], [0.11247271299362183, 0.31705769896507263], [0.11353603005409241, 0.30536583065986633], [0.11356967687606812, 0.2939852178096771], [0.1130942702293396, 0.2833864092826843], [0.11220642924308777, 0.2743932008743286], [0.11120519042015076, 0.26805615425109863], [0.10972851514816284, 0.26286542415618896], [0.10959762334823608, 0.26332297921180725], [0.11189135909080505, 0.26432740688323975], [0.11144682765007019, 0.2613449692726135], [0.11067309975624084, 0.25985273718833923], [0.1087501049041748, 0.2634584903717041], [0.10586243867874146, 0.26890623569488525], [0.10271215438842773, 0.2746685743331909], [0.10026946663856506, 0.2798829674720764], [0.09730175137519836, 0.2835225462913513], [0.09466063976287842, 0.2852686941623688], [0.09257003664970398, 0.2867622971534729], [0.09065738320350647, 0.28787046670913696], [0.08926662802696228, 0.28865230083465576], [0.0880441963672638, 0.28905242681503296], [0.08697858452796936, 0.2891818881034851], [0.0860564112663269, 0.289034903049469], [0.0852506160736084, 0.28874993324279785], [0.08457520604133606, 0.2884165048599243], [0.08400005102157593, 0.2880457639694214]]
2336|-1047106151.9229854|[[0.07574567198753357, 0.29507774114608765], [0.07591408491134644, 0.29557421803474426], [0.07611757516860962, 0.2962111830711365], [0.07637524604797363, 0.2970651388168335], [0.07671010494232178, 0.2982276678085327], [0.07715481519699097, 0.29986774921417236], [0.07773604989051819, 0.3022192120552063], [0.07850831747055054, 0.30548956990242004], [0.07958564162254333, 0.3100888431072235], [0.08096671104431152, 0.31671980023384094], [0.08273187279701233, 0.32587701082229614], [0.08497574925422668, 0.3387124538421631], [0.08817091584205627, 0.3579222559928894], [0.0924997329711914, 0.38174328207969666], [0.09734246134757996, 0.40703195333480835], [0.10230165719985962, 0.43320220708847046], [0.10849523544311523, 0.4591560363769531], [0.11459669470787048, 0.47587907314300537], [0.11819714307785034, 0.48386022448539734], [0.12039101123809814, 0.4873558580875397], [0.12086045742034912, 0.4822345972061157], [0.12289643287658691, 0.4734760522842407], [0.12463617324829102, 0.4634287655353546], [0.12446805834770203, 0.45168226957321167], [0.12442460656166077, 0.4404216408729553], [0.12433212995529175, 0.4278300404548645], [0.12361505627632141, 0.41329509019851685], [0.12270939350128174, 0.3991697132587433], [0.12134599685668945, 0.38544341921806335], [0.11971423029899597, 0.3719246983528137], [0.11758473515510559, 0.3580080568790436], [0.11530420184135437, 0.34429335594177246], [0.1131293773651123, 0.3315045237541199], [0.11083894968032837, 0.3217884302139282], [0.11054205894470215, 0.31487715244293213], [0.11044800281524658, 0.3075503408908844], [0.10858729481697083, 0.2992345094680786], [0.10674482583999634, 0.29199665784835815], [0.10415580868721008, 0.28691279888153076], [0.10095149278640747, 0.28271347284317017], [0.09832438826560974, 0.28160208463668823], [0.09549301862716675, 0.28229469060897827], [0.09271553158760071, 0.28423580527305603], [0.090201735496521, 0.2850143611431122], [0.08771604299545288, 0.2851945757865906], [0.08587455749511719, 0.285424143075943], [0.08420902490615845, 0.2853674590587616], [0.08270910382270813, 0.28498655557632446], [0.08149543404579163, 0.2847861647605896], [0.0803905725479126, 0.2844105660915375], [0.07944822311401367, 0.2840357720851898], [0.07863768935203552, 0.28364184498786926], [0.07800820469856262, 0.2832658886909485]]
2628|-783654671.1631845|[[0.06791234016418457, 0.3557358682155609], [0.0681225061416626, 0.3560824990272522], [0.06835100054740906, 0.35654187202453613], [0.06859689950942993, 0.357166588306427], [0.06889048218727112, 0.3580397963523865], [0.06924888491630554, 0.359249472618103], [0.0696970522403717, 0.3609095513820648], [0.07026848196983337, 0.3631691634654999], [0.07100677490234375, 0.36622241139411926], [0.07197535037994385, 0.3703532814979553], [0.07323870062828064, 0.37587448954582214], [0.07490155100822449, 0.38331103324890137], [0.07709449529647827, 0.3931563198566437], [0.08000212907791138, 0.40606412291526794], [0.08332487940788269, 0.42606353759765625], [0.08691662549972534, 0.45106446743011475], [0.0903705358505249, 0.47682011127471924], [0.09368729591369629, 0.5017638206481934], [0.0967283844947815, 0.5241202116012573], [0.09965977072715759, 0.5438355803489685], [0.10306686162948608, 0.5575461387634277], [0.10644897818565369, 0.5651558637619019], [0.10873711109161377, 0.5686115026473999], [0.11059647798538208, 0.5687518119812012], [0.11178630590438843, 0.566189169883728], [0.1126754879951477, 0.5617259740829468], [0.113241046667099, 0.5553745031356812], [0.113406240940094, 0.5473487973213196], [0.11352130770683289, 0.5381115078926086], [0.11368927359580994, 0.5275565981864929], [0.11375251412391663, 0.5166544318199158], [0.11356097459793091, 0.5053297281265259], [0.11310690641403198, 0.4934731125831604], [0.112407386302948, 0.4816259443759918], [0.11203348636627197, 0.4700228273868561], [0.11184918880462646, 0.45760178565979004], [0.11204314231872559, 0.4453756809234619], [0.11155322194099426, 0.43199846148490906], [0.11086133122444153, 0.41891610622406006], [0.1092509925365448, 0.40631377696990967], [0.1066707968711853, 0.3951908051967621], [0.10410135984420776, 0.3842011094093323], [0.1013742983341217, 0.37407052516937256], [0.09864935278892517, 0.36499056220054626], [0.09609270095825195, 0.3572961688041687], [0.09365653991699219, 0.35169607400894165], [0.09118825197219849, 0.34660249948501587], [0.08892011642456055, 0.34247714281082153], [0.08684608340263367, 0.3391059637069702], [0.08518669009208679, 0.3363829255104065], [0.08355963230133057, 0.33370524644851685], [0.08207559585571289, 0.331046462059021], [0.08072054386138916, 0.3286430239677429]]
2920|-578698063.2486513|[[0.0606917142868042, 0.3811706304550171], [0.060863226652145386, 0.3816758990287781], [0.06105536222457886, 0.3823561668395996], [0.06127983331680298, 0.38331323862075806], [0.06154748797416687, 0.3846396803855896], [0.06187838315963745, 0.38655170798301697], [0.062260717153549194, 0.3892648220062256], [0.06274929642677307, 0.39293336868286133], [0.06337326765060425, 0.39781755208969116], [0.06418821215629578, 0.40422534942626953], [0.06523311138153076, 0.4125344157218933], [0.0665641725063324, 0.4231555759906769], [0.0682363212108612, 0.4370867908000946], [0.07012462615966797, 0.45536527037620544], [0.07231271266937256, 0.47622302174568176], [0.07487156987190247, 0.5003493428230286], [0.07767567038536072, 0.5264517664909363], [0.08069825172424316, 0.552619218826294], [0.08311232924461365, 0.575580358505249], [0.08530867099761963, 0.5965537428855896], [0.08732715249061584, 0.6132336854934692], [0.08911734819412231, 0.6259483695030212], [0.09049060940742493, 0.6347015500068665], [0.09141361713409424, 0.6398873329162598], [0.0924178957939148, 0.6408360004425049], [0.0932866632938385, 0.6392556428909302], [0.09398040175437927, 0.6358050107955933], [0.09462714195251465, 0.6308647394180298], [0.0951913595199585, 0.6243962049484253], [0.09557843208312988, 0.6167098879814148], [0.09568190574645996, 0.6082424521446228], [0.09546181559562683, 0.5991359353065491], [0.09544795751571655, 0.5898818969726562], [0.09529170393943787, 0.5800297260284424], [0.0950431227684021, 0.5698435306549072], [0.09465444087982178, 0.5592459440231323], [0.09413516521453857, 0.5481133460998535], [0.09334924817085266, 0.536365807056427], [0.0924883782863617, 0.5249147415161133], [0.09164354205131531, 0.5137890577316284], [0.09062960743904114, 0.5021238327026367], [0.08938008546829224, 0.4901261031627655], [0.08819112181663513, 0.4789083003997803], [0.08702448010444641, 0.46830981969833374], [0.08594459295272827, 0.4579978883266449], [0.08483749628067017, 0.4482577443122864], [0.08371499180793762, 0.4389599561691284], [0.08249562978744507, 0.4295993149280548], [0.08129855990409851, 0.4207020103931427], [0.08005613088607788, 0.4128831624984741], [0.07880547642707825, 0.4054752290248871], [0.07751041650772095, 0.39830443263053894], [0.07635876536369324, 0.3914772868156433]]
